DiseaseName	PMID	Sentence index	The # of total tokens	Location of token
parkinson Disease	22297542	5	27	15
parkinson Disease	22297542	12	26	1
parkinson Disease	22297542	12	26	1
parkinson Disease	22297542	12	26	1
parkinson Disease	22296116	4	29	14
parkinson Disease	22295119	2	16	9
parkinson Disease	22295119	2	16	9
parkinson Disease	22295119	2	16	9
parkinson Disease	22295119	3	12	1
parkinson Disease	22295119	3	12	1
parkinson Disease	22295119	3	12	1
parkinson Disease	22291041	2	15	10
parkinson Disease	22291041	3	14	12
parkinson Disease	22291041	3	14	12
parkinson Disease	22291041	3	14	12
parkinson Disease	22287946	2	8	7
parkinson Disease	22287946	3	42	13
parkinson Disease	22287946	3	42	13
parkinson Disease	22287946	3	42	13
parkinson Disease	22287946	8	11	10
parkinson Disease	22285116	2	8	7
parkinson Disease	22285116	2	8	7
parkinson Disease	22285116	2	8	7
parkinson Disease	22285116	3	24	16
parkinson Disease	22285116	3	24	16
parkinson Disease	22285116	3	24	16
parkinson Disease	22282650	2	9	3
parkinson Disease	22282650	2	9	3
parkinson Disease	22282650	2	9	3
parkinson Disease	22282650	3	14	12
parkinson Disease	22282650	3	14	12
parkinson Disease	22282650	3	14	12
parkinson Disease	22282650	6	15	11
parkinson Disease	22282650	6	15	11
parkinson Disease	22282650	6	15	11
parkinson Disease	22282641	2	13	12
parkinson Disease	22282641	2	13	12
parkinson Disease	22282641	2	13	12
parkinson Disease	22282641	3	25	23
parkinson Disease	22282641	3	25	23
parkinson Disease	22282641	3	25	23
parkinson Disease	22278219	12	29	28
parkinson Disease	22278219	12	29	28
parkinson Disease	22278219	12	29	28
parkinson Disease	22278152	2	12	11
parkinson Disease	22278152	2	12	11
parkinson Disease	22278152	2	12	11
parkinson Disease	22278152	3	12	11
parkinson Disease	22278152	3	12	11
parkinson Disease	22278152	3	12	11
parkinson Disease	22278152	4	20	11
parkinson Disease	22278152	4	20	11
parkinson Disease	22278152	4	20	11
parkinson Disease	22278152	5	23	13
parkinson Disease	22278152	5	23	13
parkinson Disease	22278152	5	23	13
parkinson Disease	22278152	7	32	14
parkinson Disease	22278152	7	32	14
parkinson Disease	22278152	7	32	14
parkinson Disease	22278152	10	18	5
parkinson Disease	22278152	10	18	5
parkinson Disease	22278152	10	18	5
parkinson Disease	22278152	11	15	11
parkinson Disease	22278152	11	15	11
parkinson Disease	22278152	11	15	11
parkinson Disease	22278152	12	12	11
parkinson Disease	22278152	12	12	11
parkinson Disease	22278152	12	12	11
parkinson Disease	22278152	13	21	20
parkinson Disease	22278152	13	21	20
parkinson Disease	22278152	13	21	20
parkinson Disease	22278003	4	37	15
parkinson Disease	22278003	4	37	16
parkinson Disease	22278003	4	37	16
parkinson Disease	22278003	4	37	16
parkinson Disease	22277522	4	29	3
parkinson Disease	22277522	4	29	4
parkinson Disease	22277522	4	29	4
parkinson Disease	22277522	4	29	4
parkinson Disease	22277493	4	35	33
parkinson Disease	22277493	4	35	33
parkinson Disease	22277493	4	35	33
parkinson Disease	22277466	8	18	17
parkinson Disease	22277466	8	18	17
parkinson Disease	22277466	8	18	17
parkinson Disease	22277445	6	32	31
parkinson Disease	22277445	6	32	31
parkinson Disease	22277445	6	32	31
parkinson Disease	22277432	5	37	25
parkinson Disease	22277432	5	37	25
parkinson Disease	22277432	5	37	25
parkinson Disease	22275429	4	12	2
parkinson Disease	22275251	2	19	15
parkinson Disease	22275251	4	28	26
parkinson Disease	22275251	4	28	26
parkinson Disease	22275251	4	28	26
parkinson Disease	22273734	2	8	7
parkinson Disease	22273734	2	8	7
parkinson Disease	22273734	2	8	7
parkinson Disease	22273734	3	21	18
parkinson Disease	22273734	3	21	18
parkinson Disease	22273734	3	21	18
parkinson Disease	22271527	3	19	17
parkinson Disease	22271527	3	19	17
parkinson Disease	22271527	3	19	17
parkinson Disease	22271259	4	26	12
parkinson Disease	22271259	4	26	12
parkinson Disease	22271259	4	26	12
parkinson Disease	22270024	2	13	1
parkinson Disease	22269801	3	19	18
parkinson Disease	22269801	3	19	18
parkinson Disease	22269801	3	19	18
parkinson Disease	22268009	2	17	8
parkinson Disease	22268009	3	15	1
parkinson Disease	22268009	3	15	1
parkinson Disease	22268009	3	15	1
parkinson Disease	22265822	5	18	16
parkinson Disease	22265822	5	18	16
parkinson Disease	22265822	5	18	16
parkinson Disease	22262745	2	9	8
parkinson Disease	22262745	2	9	8
parkinson Disease	22262745	2	9	8
parkinson Disease	22262741	2	12	7
parkinson Disease	22262741	3	15	13
parkinson Disease	22262741	3	15	13
parkinson Disease	22262741	3	15	13
parkinson Disease	22261609	2	12	11
parkinson Disease	22261609	2	12	11
parkinson Disease	22261609	2	12	11
parkinson Disease	22261609	3	16	14
parkinson Disease	22261609	3	16	14
parkinson Disease	22261609	3	16	14
parkinson Disease	22260015	2	10	9
parkinson Disease	22260015	3	17	9
parkinson Disease	22260015	3	17	9
parkinson Disease	22260015	3	17	9
parkinson Disease	22260015	7	29	19
parkinson Disease	22260015	7	29	19
parkinson Disease	22260015	7	29	19
parkinson Disease	22260015	9	10	9
parkinson Disease	22258155	2	12	7
parkinson Disease	22258155	3	13	11
parkinson Disease	22258155	3	13	11
parkinson Disease	22258155	3	13	11
parkinson Disease	22256772	2	11	10
parkinson Disease	22256772	3	36	1
parkinson Disease	22256772	3	36	1
parkinson Disease	22256772	3	36	1
parkinson Disease	22255666	2	16	7
parkinson Disease	22255666	2	16	7
parkinson Disease	22255666	2	16	7
parkinson Disease	22255666	4	15	12
parkinson Disease	22255666	4	15	12
parkinson Disease	22255666	4	15	12
parkinson Disease	22254350	6	25	19
parkinson Disease	22254350	6	25	19
parkinson Disease	22254350	6	25	19
parkinson Disease	22254331	2	10	9
parkinson Disease	22254331	3	14	9
parkinson Disease	22254331	4	15	11
parkinson Disease	22254331	5	13	7
parkinson Disease	22254331	5	13	7
parkinson Disease	22254331	5	13	7
parkinson Disease	22254331	6	15	9
parkinson Disease	22254331	6	15	9
parkinson Disease	22254331	6	15	9
parkinson Disease	22253756	9	35	22
parkinson Disease	22251502	3	16	15
parkinson Disease	22251502	3	16	15
parkinson Disease	22251502	3	16	15
parkinson Disease	22245093	14	26	10
parkinson Disease	22242373	2	9	4
parkinson Disease	22242373	2	9	4
parkinson Disease	22242373	2	9	4
parkinson Disease	22241380	2	19	8
parkinson Disease	22241380	2	19	8
parkinson Disease	22241380	2	19	8
parkinson Disease	22240861	3	24	8
parkinson Disease	22240861	3	24	8
parkinson Disease	22240861	3	24	8
parkinson Disease	22239959	9	52	36
parkinson Disease	22239959	9	52	36
parkinson Disease	22239959	9	52	36
parkinson Disease	22238344	2	24	19
parkinson Disease	22238344	4	31	29
parkinson Disease	22238344	4	31	29
parkinson Disease	22238344	4	31	29
parkinson Disease	22237833	2	12	9
parkinson Disease	22237833	3	19	16
parkinson Disease	22237722	2	12	11
parkinson Disease	22237722	4	18	10
parkinson Disease	22237722	4	18	10
parkinson Disease	22237722	4	18	10
parkinson Disease	22237722	6	46	22
parkinson Disease	22237722	6	46	22
parkinson Disease	22237722	6	46	23
parkinson Disease	22237722	6	46	23
parkinson Disease	22237722	6	46	23
parkinson Disease	22237722	11	27	20
parkinson Disease	22237722	13	32	26
parkinson Disease	22237722	14	21	20
parkinson Disease	22237722	14	21	20
parkinson Disease	22237722	14	21	20
parkinson Disease	22234991	2	18	17
parkinson Disease	22234991	2	18	17
parkinson Disease	22234991	2	18	17
parkinson Disease	22234991	3	32	30
parkinson Disease	22234991	3	32	30
parkinson Disease	22234991	3	32	30
parkinson Disease	22234991	5	15	4
parkinson Disease	22233685	7	27	26
parkinson Disease	22233685	7	27	26
parkinson Disease	22233685	7	27	26
parkinson Disease	22233331	2	13	8
parkinson Disease	22233331	2	13	8
parkinson Disease	22233331	2	13	8
parkinson Disease	22233331	3	26	22
parkinson Disease	22233331	3	26	22
parkinson Disease	22233331	3	26	22
parkinson Disease	22233167	6	35	17
parkinson Disease	22232350	2	16	14
parkinson Disease	22232350	2	16	14
parkinson Disease	22232350	2	16	14
parkinson Disease	22232350	3	35	14
parkinson Disease	22232350	3	35	14
parkinson Disease	22232350	3	35	14
parkinson Disease	22229124	2	11	4
parkinson Disease	22229124	3	25	5
parkinson Disease	22229124	3	25	5
parkinson Disease	22229124	3	25	5
parkinson Disease	22229124	3	25	25
parkinson Disease	22229124	4	23	22
parkinson Disease	22229124	4	23	22
parkinson Disease	22229124	4	23	22
parkinson Disease	22229124	5	27	3
parkinson Disease	22229124	5	27	3
parkinson Disease	22229124	5	27	3
parkinson Disease	22229124	6	21	4
parkinson Disease	22229124	6	21	4
parkinson Disease	22229124	6	21	4
parkinson Disease	22229124	7	22	7
parkinson Disease	22229124	7	22	7
parkinson Disease	22229124	7	22	7
parkinson Disease	22229124	8	36	16
parkinson Disease	22229124	8	36	16
parkinson Disease	22229124	8	36	16
parkinson Disease	22228827	2	8	7
parkinson Disease	22228827	2	8	7
parkinson Disease	22228827	2	8	7
parkinson Disease	22228827	3	50	17
parkinson Disease	22228827	3	50	17
parkinson Disease	22228827	3	50	17
parkinson Disease	22228826	2	17	4
parkinson Disease	22228826	3	21	3
parkinson Disease	22228826	3	21	3
parkinson Disease	22228826	3	21	3
parkinson Disease	22228096	3	17	15
parkinson Disease	22228096	3	17	15
parkinson Disease	22228096	3	17	15
parkinson Disease	22227451	2	11	10
parkinson Disease	22227451	2	11	10
parkinson Disease	22227451	2	11	10
parkinson Disease	22227451	3	18	1
parkinson Disease	22227451	3	18	1
parkinson Disease	22227451	3	18	1
parkinson Disease	22227451	8	24	8
parkinson Disease	22227451	8	24	8
parkinson Disease	22227451	8	24	8
parkinson Disease	22222634	2	13	3
parkinson Disease	22222634	2	13	3
parkinson Disease	22222634	2	13	3
parkinson Disease	22222634	3	23	21
parkinson Disease	22222634	3	23	21
parkinson Disease	22222634	3	23	21
parkinson Disease	22222634	7	38	10
parkinson Disease	22222634	7	38	10
parkinson Disease	22222634	7	38	10
parkinson Disease	22220437	2	10	4
parkinson Disease	22220437	2	10	4
parkinson Disease	22220437	2	10	4
parkinson Disease	22220437	3	10	1
parkinson Disease	22220437	3	10	1
parkinson Disease	22220437	3	10	1
parkinson Disease	22219231	2	8	7
parkinson Disease	22219231	2	8	7
parkinson Disease	22219231	2	8	7
parkinson Disease	22219231	3	16	9
parkinson Disease	22219231	3	16	9
parkinson Disease	22219231	3	16	9
parkinson Disease	22219231	5	19	5
parkinson Disease	22219231	5	19	5
parkinson Disease	22219231	5	19	5
parkinson Disease	22219231	8	25	13
parkinson Disease	22219196	2	17	16
parkinson Disease	22219196	2	17	16
parkinson Disease	22219196	2	17	16
parkinson Disease	22219196	4	25	24
parkinson Disease	22219196	4	25	24
parkinson Disease	22219196	4	25	24
parkinson Disease	22219196	8	32	30
parkinson Disease	22219196	8	32	30
parkinson Disease	22219196	8	32	30
parkinson Disease	22218995	2	18	16
parkinson Disease	22218995	8	21	11
parkinson Disease	22218995	9	24	12
parkinson Disease	22218995	9	24	12
parkinson Disease	22218995	9	24	12
parkinson Disease	22217609	2	5	4
parkinson Disease	22217609	2	5	4
parkinson Disease	22217609	2	5	4
parkinson Disease	22217609	3	41	5
parkinson Disease	22217609	3	41	5
parkinson Disease	22217609	3	41	5
parkinson Disease	22217609	7	19	15
parkinson Disease	22216802	7	40	34
parkinson Disease	22215547	3	26	22
parkinson Disease	22215547	3	26	22
parkinson Disease	22215547	3	26	22
parkinson Disease	22215534	5	24	17
parkinson Disease	22215333	2	13	8
parkinson Disease	22215333	3	17	8
parkinson Disease	22215333	3	17	8
parkinson Disease	22215333	3	17	8
parkinson Disease	22215333	5	14	7
parkinson Disease	22215333	5	14	7
parkinson Disease	22215333	5	14	7
parkinson Disease	22215333	9	21	9
parkinson Disease	22215333	9	21	9
parkinson Disease	22215333	9	21	9
parkinson Disease	22213411	2	8	7
parkinson Disease	22213411	2	8	7
parkinson Disease	22213411	2	8	7
parkinson Disease	22213411	3	26	10
parkinson Disease	22213411	3	26	10
parkinson Disease	22213411	3	26	10
parkinson Disease	22213411	10	12	1
parkinson Disease	22213411	10	12	1
parkinson Disease	22213411	10	12	1
parkinson Disease	22211740	3	24	22
parkinson Disease	22211740	3	24	22
parkinson Disease	22211740	3	24	22
parkinson Disease	22211687	7	37	33
parkinson Disease	22211687	7	37	33
parkinson Disease	22211687	7	37	33
parkinson Disease	22211682	3	19	1
parkinson Disease	22211682	3	19	1
parkinson Disease	22211682	3	19	1
parkinson Disease	22206149	2	9	3
parkinson Disease	22205345	3	14	12
parkinson Disease	22205345	3	14	12
parkinson Disease	22205345	3	14	12
parkinson Disease	22205172	2	18	4
parkinson Disease	22205172	2	18	4
parkinson Disease	22205172	2	18	4
parkinson Disease	22205172	3	24	9
parkinson Disease	22205172	3	24	9
parkinson Disease	22205172	3	24	9
parkinson Disease	22204027	2	8	6
parkinson Disease	22204027	2	8	6
parkinson Disease	22204027	2	8	6
parkinson Disease	22202748	12	61	36
parkinson Disease	22202748	12	61	36
parkinson Disease	22202748	12	61	36
parkinson Disease	22198405	2	7	3
parkinson Disease	22198405	3	15	9
parkinson Disease	22198405	3	15	9
parkinson Disease	22198405	3	15	9
parkinson Disease	22198404	2	10	1
parkinson Disease	22194359	7	33	20
parkinson Disease	22193376	2	6	5
parkinson Disease	22193376	2	6	5
parkinson Disease	22193376	2	6	5
parkinson Disease	22193376	3	28	1
parkinson Disease	22193376	3	28	1
parkinson Disease	22193376	3	28	1
parkinson Disease	22191069	2	12	6
parkinson Disease	22191069	4	23	15
parkinson Disease	22191069	4	23	15
parkinson Disease	22191069	4	23	15
parkinson Disease	22191067	2	12	11
parkinson Disease	22191067	2	12	11
parkinson Disease	22191067	2	12	11
parkinson Disease	22191067	3	22	5
parkinson Disease	22191067	3	22	5
parkinson Disease	22191067	3	22	5
parkinson Disease	22191067	4	35	7
parkinson Disease	22191067	4	35	7
parkinson Disease	22191067	4	35	7
parkinson Disease	22191067	7	27	18
parkinson Disease	22191067	7	27	18
parkinson Disease	22191067	7	27	18
parkinson Disease	22191065	2	22	8
parkinson Disease	22191065	3	14	13
parkinson Disease	22191065	3	14	13
parkinson Disease	22191065	3	14	13
parkinson Disease	22191065	5	31	18
parkinson Disease	22191065	5	31	18
parkinson Disease	22191065	5	31	18
parkinson Disease	22191065	6	36	20
parkinson Disease	22190368	2	9	4
parkinson Disease	22190368	2	9	4
parkinson Disease	22190368	2	9	4
parkinson Disease	22190368	4	15	13
parkinson Disease	22190368	4	15	13
parkinson Disease	22190368	4	15	13
parkinson Disease	22190305	2	11	6
parkinson Disease	22190305	2	11	6
parkinson Disease	22190305	2	11	6
parkinson Disease	22190305	4	26	14
parkinson Disease	22190305	5	14	8
parkinson Disease	22190305	6	14	10
parkinson Disease	22188655	3	40	9
parkinson Disease	22188090	2	14	9
parkinson Disease	22188090	2	14	9
parkinson Disease	22188090	2	14	9
parkinson Disease	22188082	2	8	7
parkinson Disease	22188082	2	8	7
parkinson Disease	22188082	2	8	7
parkinson Disease	22166466	2	9	7
parkinson Disease	22166466	2	9	7
parkinson Disease	22166466	2	9	7
parkinson Disease	22166466	3	11	6
parkinson Disease	22166466	3	11	6
parkinson Disease	22166466	3	11	6
parkinson Disease	22166466	4	26	4
parkinson Disease	22166466	4	26	4
parkinson Disease	22166466	4	26	4
parkinson Disease	22166466	6	29	5
parkinson Disease	22166466	7	21	15
parkinson Disease	22166466	7	21	15
parkinson Disease	22166466	7	21	15
parkinson Disease	22166466	7	21	4
parkinson Disease	22166466	10	10	3
parkinson Disease	22166466	12	23	13
parkinson Disease	22166457	2	9	5
parkinson Disease	22166457	3	21	19
parkinson Disease	22166457	3	21	19
parkinson Disease	22166457	3	21	19
parkinson Disease	22166446	2	13	12
parkinson Disease	22166446	2	13	12
parkinson Disease	22166446	2	13	12
parkinson Disease	22166446	3	27	1
parkinson Disease	22166446	3	27	1
parkinson Disease	22166446	3	27	1
parkinson Disease	22166446	4	19	18
parkinson Disease	22166446	5	30	15
parkinson Disease	22166446	6	26	25
parkinson Disease	22166433	3	41	14
parkinson Disease	22166433	3	41	14
parkinson Disease	22166433	3	41	14
parkinson Disease	22166433	5	29	17
parkinson Disease	22166425	2	10	9
parkinson Disease	22166425	2	10	9
parkinson Disease	22166425	2	10	9
parkinson Disease	22166425	3	20	7
parkinson Disease	22166425	3	20	7
parkinson Disease	22166425	3	20	7
parkinson Disease	22166425	6	27	10
parkinson Disease	22166418	3	41	37
parkinson Disease	22166418	3	41	37
parkinson Disease	22166418	3	41	37
parkinson Disease	22166402	3	13	1
parkinson Disease	22166402	3	13	1
parkinson Disease	22166402	3	13	1
parkinson Disease	22187000	9	40	33
parkinson Disease	22187000	9	40	33
parkinson Disease	22187000	9	40	33
parkinson Disease	22185909	5	10	9
parkinson Disease	22185909	5	10	9
parkinson Disease	22185909	5	10	9
parkinson Disease	22180089	2	20	1
parkinson Disease	22180089	2	20	1
parkinson Disease	22180089	2	20	1
parkinson Disease	22180089	3	12	1
parkinson Disease	22180089	3	12	1
parkinson Disease	22180089	3	12	1
parkinson Disease	22180089	4	21	20
parkinson Disease	22180089	4	21	20
parkinson Disease	22180089	4	21	20
parkinson Disease	22180089	5	26	21
parkinson Disease	22180089	5	26	21
parkinson Disease	22180089	5	26	21
parkinson Disease	22180089	8	26	7
parkinson Disease	22180013	3	15	14
parkinson Disease	22180013	3	15	14
parkinson Disease	22180013	3	15	14
parkinson Disease	22178471	3	27	11
parkinson Disease	22173095	2	22	12
parkinson Disease	22173095	3	10	1
parkinson Disease	22173095	3	10	1
parkinson Disease	22173095	3	10	1
parkinson Disease	22172999	2	12	7
parkinson Disease	22172611	2	8	7
parkinson Disease	22172611	2	8	7
parkinson Disease	22172611	2	8	7
parkinson Disease	22171910	11	30	12
parkinson Disease	22171907	2	11	10
parkinson Disease	22171907	2	11	10
parkinson Disease	22171907	2	11	10
parkinson Disease	22171907	3	41	10
parkinson Disease	22171907	3	41	10
