Name	DiseaseName	PMID	Sentence index	The # of total tokens	Location of token	which abbreviation
parkinson disease	parkinson Disease	22341818	4	30	29	8
parkinson disease	parkinson Disease	22341818	4	30	29	10
parkinson	parkinson Disease	22341818	4	30	29	20
parkinson disease	parkinson Disease	22341818	15	25	23	8
parkinson disease	parkinson Disease	22341818	15	25	23	10
parkinson	parkinson Disease	22341818	15	25	23	20
parkinson's	parkinson Disease	22341622	2	13	12	11
parkinson's disease	parkinson Disease	22341622	2	13	12	12
parkinson's disease	parkinson Disease	22341622	2	13	12	15
parkinson's	parkinson Disease	22341622	3	30	18	11
parkinson's disease	parkinson Disease	22341622	3	30	18	12
parkinson's disease	parkinson Disease	22341622	3	30	18	15
parkinson	parkinson Disease	22341622	6	28	10	20
parkinson	parkinson Disease	22339293	3	19	6	20
parkinson disease	parkinson Disease	22336720	4	39	25	8
parkinson disease	parkinson Disease	22336720	4	39	25	10
parkinson	parkinson Disease	22336720	4	39	25	20
parkinson disease	parkinson Disease	22336192	3	13	12	8
parkinson disease	parkinson Disease	22336192	3	13	12	10
parkinson	parkinson Disease	22336192	3	13	12	20
parkinson disease	parkinson Disease	22334391	10	30	29	8
parkinson disease	parkinson Disease	22334391	10	30	29	10
parkinson	parkinson Disease	22334391	10	30	29	20
parkinson's	parkinson Disease	22334107	2	10	8	11
parkinson's disease	parkinson Disease	22334107	2	10	8	12
parkinson's disease	parkinson Disease	22334107	2	10	8	15
parkinson's	parkinson Disease	22334107	4	17	12	11
parkinson's disease	parkinson Disease	22334107	4	17	12	12
parkinson's disease	parkinson Disease	22334107	4	17	12	15
parkinson's	parkinson Disease	22334107	6	16	14	11
parkinson's disease	parkinson Disease	22334107	6	16	14	12
parkinson's disease	parkinson Disease	22334107	6	16	14	15
parkinson's	parkinson Disease	22334107	8	30	4	11
parkinson's disease	parkinson Disease	22334107	8	30	4	12
parkinson's disease	parkinson Disease	22334107	8	30	4	15
parkinson's	parkinson Disease	22334107	19	16	14	11
parkinson's disease	parkinson Disease	22334107	19	16	14	12
parkinson's disease	parkinson Disease	22334107	19	16	14	15
parkinson	parkinson Disease	22334107	21	13	2	20
parkinson's	parkinson Disease	22333397	2	10	9	11
parkinson's	parkinson Disease	22333397	3	28	12	11
parkinson's disease	parkinson Disease	22333397	3	28	12	12
parkinson's disease	parkinson Disease	22333397	3	28	12	15
parkinson's	parkinson Disease	22333397	6	10	9	11
parkinson's disease	parkinson Disease	22333397	6	10	9	12
parkinson's disease	parkinson Disease	22333397	6	10	9	15
parkinson's	parkinson Disease	22333397	10	26	22	11
parkinson's disease	parkinson Disease	22333397	10	26	22	12
parkinson's disease	parkinson Disease	22333397	10	26	22	15
parkinson's	parkinson Disease	22333397	11	17	16	11
parkinson's disease	parkinson Disease	22333397	11	17	16	12
parkinson's disease	parkinson Disease	22333397	11	17	16	15
parkinson's	parkinson Disease	22333397	16	24	8	11
parkinson	parkinson Disease	22328094	8	33	25	20
parkinson	parkinson Disease	22323779	2	18	11	20
parkinson disease	parkinson Disease	22323779	3	27	1	8
parkinson disease	parkinson Disease	22323779	3	27	1	10
parkinson	parkinson Disease	22323779	3	27	1	20
parkinson disease	parkinson Disease	22323748	2	9	8	8
parkinson disease	parkinson Disease	22323748	2	9	8	10
parkinson	parkinson Disease	22323748	2	9	8	20
parkinson disease	parkinson Disease	22323748	3	13	11	8
parkinson disease	parkinson Disease	22323748	3	13	11	10
parkinson	parkinson Disease	22323748	3	13	11	20
parkinson	parkinson Disease	22323745	2	8	1	20
parkinson disease	parkinson Disease	22323745	3	31	5	8
parkinson disease	parkinson Disease	22323745	3	31	5	10
parkinson	parkinson Disease	22323745	3	31	5	20
parkinson disease	parkinson Disease	22323743	2	13	8	8
parkinson disease	parkinson Disease	22323743	2	13	8	10
parkinson	parkinson Disease	22323743	2	13	8	20
parkinson disease	parkinson Disease	22323743	3	38	12	8
parkinson disease	parkinson Disease	22323743	3	38	12	10
parkinson	parkinson Disease	22323743	3	38	12	20
parkinson's	parkinson Disease	22321866	2	20	17	11
parkinson's disease	parkinson Disease	22321866	2	20	17	12
parkinson's disease	parkinson Disease	22321866	2	20	17	15
parkinson's	parkinson Disease	22321866	3	33	2	11
parkinson's disease	parkinson Disease	22321866	3	33	2	12
parkinson's disease	parkinson Disease	22321866	3	33	2	15
parkinson disease	parkinson Disease	22321866	15	28	4	8
parkinson disease	parkinson Disease	22321866	15	28	4	10
parkinson	parkinson Disease	22321866	15	28	4	20
parkinson	parkinson Disease	22321864	2	18	3	20
parkinson's	parkinson Disease	22319547	2	17	15	11
parkinson's disease	parkinson Disease	22319547	2	17	15	12
parkinson's disease	parkinson Disease	22319547	2	17	15	15
parkinson disease	parkinson Disease	22319547	3	30	15	8
parkinson disease	parkinson Disease	22319547	3	30	15	10
parkinson	parkinson Disease	22319547	3	30	15	20
parkinson's	parkinson Disease	22316445	2	10	9	11
parkinson's disease	parkinson Disease	22316445	2	10	9	12
parkinson's disease	parkinson Disease	22316445	2	10	9	15
parkinson's	parkinson Disease	22316445	3	19	3	11
parkinson's disease	parkinson Disease	22316445	3	19	3	12
parkinson's disease	parkinson Disease	22316445	3	19	3	15
idiopathic parkinson's disease	parkinson Disease	22316445	5	24	22	1
idiopathic parkinson's disease	parkinson Disease	22316445	5	24	22	2
parkinson's	parkinson Disease	22316445	5	24	23	11
parkinson's disease	parkinson Disease	22316445	5	24	23	12
parkinson's disease	parkinson Disease	22316445	5	24	23	15
parkinson's	parkinson Disease	22316445	9	28	21	11
parkinson's disease	parkinson Disease	22316445	9	28	21	12
parkinson's disease	parkinson Disease	22316445	9	28	21	15
parkinson's	parkinson Disease	22316445	15	24	13	11
parkinson disease	parkinson Disease	22315971	2	28	27	8
parkinson disease	parkinson Disease	22315971	2	28	27	10
parkinson	parkinson Disease	22315971	2	28	27	20
idiopathic parkinson disease	parkinson Disease	22315971	3	22	19	0
parkinson disease	parkinson Disease	22315971	3	22	20	8
parkinson disease	parkinson Disease	22315971	3	22	20	10
parkinson	parkinson Disease	22315971	3	22	20	20
parkinson	parkinson Disease	22315428	10	30	14	20
parkinson disease	parkinson Disease	22314796	2	11	7	8
parkinson disease	parkinson Disease	22314796	2	11	7	10
parkinson	parkinson Disease	22314796	2	11	7	20
parkinson	parkinson Disease	22310988	2	15	1	20
parkinson	parkinson Disease	22307450	3	33	32	20
parkinson	parkinson Disease	22307450	4	24	4	20
parkinson's	parkinson Disease	22307450	8	20	8	11
parkinson's disease	parkinson Disease	22307450	8	20	8	12
parkinson's disease	parkinson Disease	22307450	8	20	8	15
parkinson disease	parkinson Disease	22303740	6	29	2	8
parkinson disease	parkinson Disease	22303740	6	29	2	10
parkinson	parkinson Disease	22303740	6	29	2	20
parkinson disease	parkinson Disease	22301995	2	18	17	8
parkinson disease	parkinson Disease	22301995	2	18	17	10
parkinson	parkinson Disease	22301995	2	18	17	20
parkinson disease	parkinson Disease	22301995	3	21	15	8
parkinson disease	parkinson Disease	22301995	3	21	15	10
parkinson	parkinson Disease	22301995	3	21	15	20
parkinson disease	parkinson Disease	22301995	6	29	28	8
parkinson disease	parkinson Disease	22301995	6	29	28	10
parkinson	parkinson Disease	22301995	6	29	28	20
parkinson	parkinson Disease	22301561	3	19	14	20
parkinson disease	parkinson Disease	22298861	3	19	13	8
parkinson disease	parkinson Disease	22298861	3	19	13	10
parkinson	parkinson Disease	22298861	3	19	13	20
parkinson	parkinson Disease	22297542	5	27	15	20
parkinson disease	parkinson Disease	22297542	12	26	1	8
parkinson disease	parkinson Disease	22297542	12	26	1	10
parkinson	parkinson Disease	22297542	12	26	1	20
parkinson	parkinson Disease	22296116	4	29	14	20
parkinson disease	parkinson Disease	22295119	2	16	9	8
parkinson disease	parkinson Disease	22295119	2	16	9	10
parkinson	parkinson Disease	22295119	2	16	9	20
parkinson disease	parkinson Disease	22295119	3	12	1	8
parkinson disease	parkinson Disease	22295119	3	12	1	10
parkinson	parkinson Disease	22295119	3	12	1	20
parkinson	parkinson Disease	22291041	2	15	10	20
parkinson disease	parkinson Disease	22291041	3	14	12	8
parkinson disease	parkinson Disease	22291041	3	14	12	10
parkinson	parkinson Disease	22291041	3	14	12	20
parkinson	parkinson Disease	22287946	2	8	7	20
parkinson disease	parkinson Disease	22287946	3	42	13	8
parkinson disease	parkinson Disease	22287946	3	42	13	10
parkinson	parkinson Disease	22287946	3	42	13	20
parkinson	parkinson Disease	22287946	8	11	10	20
parkinson disease	parkinson Disease	22285116	2	8	7	8
parkinson disease	parkinson Disease	22285116	2	8	7	10
parkinson	parkinson Disease	22285116	2	8	7	20
parkinson disease	parkinson Disease	22285116	3	24	16	8
parkinson disease	parkinson Disease	22285116	3	24	16	10
parkinson	parkinson Disease	22285116	3	24	16	20
parkinson disease	parkinson Disease	22282650	2	9	3	8
parkinson disease	parkinson Disease	22282650	2	9	3	10
parkinson	parkinson Disease	22282650	2	9	3	20
parkinson disease	parkinson Disease	22282650	3	14	12	8
parkinson disease	parkinson Disease	22282650	3	14	12	10
parkinson	parkinson Disease	22282650	3	14	12	20
parkinson disease	parkinson Disease	22282650	6	15	11	8
parkinson disease	parkinson Disease	22282650	6	15	11	10
parkinson	parkinson Disease	22282650	6	15	11	20
parkinson disease	parkinson Disease	22282641	2	13	12	8
parkinson disease	parkinson Disease	22282641	2	13	12	10
parkinson	parkinson Disease	22282641	2	13	12	20
parkinson disease	parkinson Disease	22282641	3	25	23	8
parkinson disease	parkinson Disease	22282641	3	25	23	10
parkinson	parkinson Disease	22282641	3	25	23	20
parkinson disease	parkinson Disease	22278219	12	29	28	8
parkinson disease	parkinson Disease	22278219	12	29	28	10
parkinson	parkinson Disease	22278219	12	29	28	20
parkinson disease	parkinson Disease	22278152	2	12	11	8
parkinson disease	parkinson Disease	22278152	2	12	11	10
parkinson	parkinson Disease	22278152	2	12	11	20
parkinson disease	parkinson Disease	22278152	3	12	11	8
parkinson disease	parkinson Disease	22278152	3	12	11	10
parkinson	parkinson Disease	22278152	3	12	11	20
parkinson disease	parkinson Disease	22278152	4	20	11	8
parkinson disease	parkinson Disease	22278152	4	20	11	10
parkinson	parkinson Disease	22278152	4	20	11	20
parkinson disease	parkinson Disease	22278152	5	23	13	8
parkinson disease	parkinson Disease	22278152	5	23	13	10
parkinson	parkinson Disease	22278152	5	23	13	20
parkinson disease	parkinson Disease	22278152	7	32	14	8
parkinson disease	parkinson Disease	22278152	7	32	14	10
parkinson	parkinson Disease	22278152	7	32	14	20
parkinson disease	parkinson Disease	22278152	10	18	5	8
parkinson disease	parkinson Disease	22278152	10	18	5	10
parkinson	parkinson Disease	22278152	10	18	5	20
parkinson disease	parkinson Disease	22278152	11	15	11	8
parkinson disease	parkinson Disease	22278152	11	15	11	10
parkinson	parkinson Disease	22278152	11	15	11	20
parkinson disease	parkinson Disease	22278152	12	12	11	8
parkinson disease	parkinson Disease	22278152	12	12	11	10
parkinson	parkinson Disease	22278152	12	12	11	20
parkinson disease	parkinson Disease	22278152	13	21	20	8
parkinson disease	parkinson Disease	22278152	13	21	20	10
parkinson	parkinson Disease	22278152	13	21	20	20
idiopathic parkinson disease	parkinson Disease	22278003	4	37	15	0
parkinson disease	parkinson Disease	22278003	4	37	16	8
parkinson disease	parkinson Disease	22278003	4	37	16	10
parkinson	parkinson Disease	22278003	4	37	16	20
idiopathic parkinson disease	parkinson Disease	22277522	4	29	3	0
parkinson disease	parkinson Disease	22277522	4	29	4	8
parkinson disease	parkinson Disease	22277522	4	29	4	10
parkinson	parkinson Disease	22277522	4	29	4	20
parkinson disease	parkinson Disease	22277493	4	35	33	8
parkinson disease	parkinson Disease	22277493	4	35	33	10
parkinson	parkinson Disease	22277493	4	35	33	20
parkinson disease	parkinson Disease	22277466	8	18	17	8
parkinson disease	parkinson Disease	22277466	8	18	17	10
parkinson	parkinson Disease	22277466	8	18	17	20
parkinson disease	parkinson Disease	22277445	6	32	31	8
parkinson disease	parkinson Disease	22277445	6	32	31	10
parkinson	parkinson Disease	22277445	6	32	31	20
parkinson disease	parkinson Disease	22277432	5	37	25	8
parkinson disease	parkinson Disease	22277432	5	37	25	10
parkinson	parkinson Disease	22277432	5	37	25	20
parkinson	parkinson Disease	22275429	4	12	2	20
parkinson	parkinson Disease	22275251	2	19	15	20
parkinson disease	parkinson Disease	22275251	4	28	26	8
parkinson disease	parkinson Disease	22275251	4	28	26	10
parkinson	parkinson Disease	22275251	4	28	26	20
parkinson disease	parkinson Disease	22273734	2	8	7	8
parkinson disease	parkinson Disease	22273734	2	8	7	10
parkinson	parkinson Disease	22273734	2	8	7	20
parkinson disease	parkinson Disease	22273734	3	21	18	8
parkinson disease	parkinson Disease	22273734	3	21	18	10
parkinson	parkinson Disease	22273734	3	21	18	20
parkinson disease	parkinson Disease	22271527	3	19	17	8
parkinson disease	parkinson Disease	22271527	3	19	17	10
parkinson	parkinson Disease	22271527	3	19	17	20
parkinson disease	parkinson Disease	22271259	4	26	12	8
parkinson disease	parkinson Disease	22271259	4	26	12	10
parkinson	parkinson Disease	22271259	4	26	12	20
parkinson	parkinson Disease	22270024	2	13	1	20
parkinson's	parkinson Disease	22269801	3	19	18	11
parkinson's disease	parkinson Disease	22269801	3	19	18	12
parkinson's disease	parkinson Disease	22269801	3	19	18	15
parkinson	parkinson Disease	22268009	2	17	8	20
parkinson disease	parkinson Disease	22268009	3	15	1	8
parkinson disease	parkinson Disease	22268009	3	15	1	10
parkinson	parkinson Disease	22268009	3	15	1	20
parkinson disease	parkinson Disease	22265822	5	18	16	8
parkinson disease	parkinson Disease	22265822	5	18	16	10
parkinson	parkinson Disease	22265822	5	18	16	20
parkinson disease	parkinson Disease	22262745	2	9	8	8
parkinson disease	parkinson Disease	22262745	2	9	8	10
parkinson	parkinson Disease	22262745	2	9	8	20
parkinson	parkinson Disease	22262741	2	12	7	20
parkinson disease	parkinson Disease	22262741	3	15	13	8
parkinson disease	parkinson Disease	22262741	3	15	13	10
parkinson	parkinson Disease	22262741	3	15	13	20
parkinson disease	parkinson Disease	22261609	2	12	11	8
parkinson disease	parkinson Disease	22261609	2	12	11	10
parkinson	parkinson Disease	22261609	2	12	11	20
parkinson disease	parkinson Disease	22261609	3	16	14	8
parkinson disease	parkinson Disease	22261609	3	16	14	10
parkinson	parkinson Disease	22261609	3	16	14	20
parkinson's	parkinson Disease	22260015	2	10	9	11
parkinson's	parkinson Disease	22260015	3	17	9	11
parkinson's disease	parkinson Disease	22260015	3	17	9	12
parkinson's disease	parkinson Disease	22260015	3	17	9	15
parkinson disease	parkinson Disease	22260015	7	29	19	8
parkinson disease	parkinson Disease	22260015	7	29	19	10
parkinson	parkinson Disease	22260015	7	29	19	20
parkinson's	parkinson Disease	22260015	9	10	9	11
parkinson	parkinson Disease	22258155	2	12	7	20
parkinson disease	parkinson Disease	22258155	3	13	11	8
parkinson disease	parkinson Disease	22258155	3	13	11	10
parkinson	parkinson Disease	22258155	3	13	11	20
parkinson's	parkinson Disease	22256772	2	11	10	11
parkinson's	parkinson Disease	22256772	3	36	1	11
parkinson's disease	parkinson Disease	22256772	3	36	1	12
parkinson's disease	parkinson Disease	22256772	3	36	1	15
parkinson disease	parkinson Disease	22255666	2	16	7	8
parkinson disease	parkinson Disease	22255666	2	16	7	10
parkinson	parkinson Disease	22255666	2	16	7	20
parkinson disease	parkinson Disease	22255666	4	15	12	8
parkinson disease	parkinson Disease	22255666	4	15	12	10
parkinson	parkinson Disease	22255666	4	15	12	20
parkinson disease	parkinson Disease	22254350	6	25	19	8
parkinson disease	parkinson Disease	22254350	6	25	19	10
parkinson	parkinson Disease	22254350	6	25	19	20
parkinson	parkinson Disease	22254331	2	10	9	20
parkinson	parkinson Disease	22254331	3	14	9	20
parkinson	parkinson Disease	22254331	4	15	11	20
parkinson disease	parkinson Disease	22254331	5	13	7	8
parkinson disease	parkinson Disease	22254331	5	13	7	10
parkinson	parkinson Disease	22254331	5	13	7	20
parkinson's	parkinson Disease	22254331	6	15	9	11
parkinson's disease	parkinson Disease	22254331	6	15	9	12
parkinson's disease	parkinson Disease	22254331	6	15	9	15
parkinson	parkinson Disease	22253756	9	35	22	20
parkinson disease	parkinson Disease	22251502	3	16	15	8
parkinson disease	parkinson Disease	22251502	3	16	15	10
parkinson	parkinson Disease	22251502	3	16	15	20
parkinson	parkinson Disease	22245093	14	26	10	20
parkinson disease	parkinson Disease	22242373	2	9	4	8
parkinson disease	parkinson Disease	22242373	2	9	4	10
parkinson	parkinson Disease	22242373	2	9	4	20
parkinson disease	parkinson Disease	22241380	2	19	8	8
parkinson disease	parkinson Disease	22241380	2	19	8	10
parkinson	parkinson Disease	22241380	2	19	8	20
parkinson disease	parkinson Disease	22240861	3	24	8	8
parkinson disease	parkinson Disease	22240861	3	24	8	10
parkinson	parkinson Disease	22240861	3	24	8	20
parkinson disease	parkinson Disease	22239959	9	52	36	8
parkinson disease	parkinson Disease	22239959	9	52	36	10
parkinson	parkinson Disease	22239959	9	52	36	20
parkinson's	parkinson Disease	22238344	2	24	19	11
parkinson disease	parkinson Disease	22238344	4	31	29	8
parkinson disease	parkinson Disease	22238344	4	31	29	10
parkinson	parkinson Disease	22238344	4	31	29	20
parkinson	parkinson Disease	22237833	2	12	9	20
parkinson	parkinson Disease	22237833	3	19	16	20
parkinson	parkinson Disease	22237722	2	12	11	20
parkinson's	parkinson Disease	22237722	4	18	10	11
parkinson's disease	parkinson Disease	22237722	4	18	10	12
parkinson's disease	parkinson Disease	22237722	4	18	10	15
idiopathic parkinson's disease	parkinson Disease	22237722	6	46	22	1
idiopathic parkinson's disease	parkinson Disease	22237722	6	46	22	2
parkinson's	parkinson Disease	22237722	6	46	23	11
parkinson's disease	parkinson Disease	22237722	6	46	23	12
parkinson's disease	parkinson Disease	22237722	6	46	23	15
parkinson	parkinson Disease	22237722	11	27	20	20
parkinson	parkinson Disease	22237722	13	32	26	20
parkinson's	parkinson Disease	22237722	14	21	20	11
parkinson's disease	parkinson Disease	22237722	14	21	20	12
parkinson's disease	parkinson Disease	22237722	14	21	20	15
parkinson disease	parkinson Disease	22234991	2	18	17	8
parkinson disease	parkinson Disease	22234991	2	18	17	10
parkinson	parkinson Disease	22234991	2	18	17	20
parkinson disease	parkinson Disease	22234991	3	32	30	8
parkinson disease	parkinson Disease	22234991	3	32	30	10
parkinson	parkinson Disease	22234991	3	32	30	20
parkinson	parkinson Disease	22234991	5	15	4	20
parkinson disease	parkinson Disease	22233685	7	27	26	8
parkinson disease	parkinson Disease	22233685	7	27	26	10
parkinson	parkinson Disease	22233685	7	27	26	20
parkinson disease	parkinson Disease	22233331	2	13	8	8
parkinson disease	parkinson Disease	22233331	2	13	8	10
parkinson	parkinson Disease	22233331	2	13	8	20
parkinson disease	parkinson Disease	22233331	3	26	22	8
parkinson disease	parkinson Disease	22233331	3	26	22	10
parkinson	parkinson Disease	22233331	3	26	22	20
parkinson	parkinson Disease	22233167	6	35	17	20
parkinson disease	parkinson Disease	22232350	2	16	14	8
parkinson disease	parkinson Disease	22232350	2	16	14	10
parkinson	parkinson Disease	22232350	2	16	14	20
parkinson disease	parkinson Disease	22232350	3	35	14	8
parkinson disease	parkinson Disease	22232350	3	35	14	10
parkinson	parkinson Disease	22232350	3	35	14	20
parkinson's	parkinson Disease	22229124	2	11	4	11
parkinson's	parkinson Disease	22229124	3	25	5	11
parkinson's disease	parkinson Disease	22229124	3	25	5	12
parkinson's disease	parkinson Disease	22229124	3	25	5	15
parkinson	parkinson Disease	22229124	3	25	25	20
parkinson's	parkinson Disease	22229124	4	23	22	11
parkinson's disease	parkinson Disease	22229124	4	23	22	12
parkinson's disease	parkinson Disease	22229124	4	23	22	15
parkinson's	parkinson Disease	22229124	5	27	3	11
parkinson's disease	parkinson Disease	22229124	5	27	3	12
parkinson's disease	parkinson Disease	22229124	5	27	3	15
parkinson's	parkinson Disease	22229124	6	21	4	11
parkinson's disease	parkinson Disease	22229124	6	21	4	12
parkinson's disease	parkinson Disease	22229124	6	21	4	15
parkinson's	parkinson Disease	22229124	7	22	7	11
parkinson's disease	parkinson Disease	22229124	7	22	7	12
parkinson's disease	parkinson Disease	22229124	7	22	7	15
parkinson's	parkinson Disease	22229124	8	36	16	11
parkinson's disease	parkinson Disease	22229124	8	36	16	12
parkinson's disease	parkinson Disease	22229124	8	36	16	15
parkinson disease	parkinson Disease	22228827	2	8	7	8
parkinson disease	parkinson Disease	22228827	2	8	7	10
parkinson	parkinson Disease	22228827	2	8	7	20
parkinson disease	parkinson Disease	22228827	3	50	17	8
