GeneName	PMID	Sentence index	The # of total tokens	Location of token
6688	22328094	2	17	14
1984	22328094	3	28	10
6688	22328094	3	28	16
6678	22328094	4	15	12
81624	22328094	5	37	25
1984	22328094	5	37	3
5080	22328094	5	37	25
6688	22328094	5	37	7
6688	22328094	8	33	19
6688	22328094	9	57	7
6688	22324823	2	12	5
1984	22324823	3	19	7
6688	22324823	3	19	10
6688	22324823	4	16	6
613	22324823	5	20	7
1984	22324823	5	20	2
6688	22324823	5	20	6
1984	22324823	7	24	2
8288	22324823	7	24	10
3033	22324823	7	24	15
6688	22324823	7	24	4
4548	22324823	8	23	23
3033	22324823	10	10	4
6688	22324823	11	27	3
3034	22324823	13	19	14
6688	22324823	13	19	17
6688	22324823	14	14	7
1984	22324823	15	11	4
8288	22324823	15	11	10
6688	22324823	16	18	3
10603	22324823	17	10	10
3818	22324823	17	10	10
6688	22323779	2	18	3
6688	22323779	3	27	18
140683	22323779	4	31	27
5723	22323779	4	31	27
5623	22323779	4	31	27
6688	22323779	4	31	21
7173	22323779	4	31	15
6688	22323779	7	31	14
613	22323779	8	25	5
140683	22323779	8	25	12
5723	22323779	8	25	12
5623	22323779	8	25	12
6688	22323779	8	25	4
140683	22323779	9	21	11
5723	22323779	9	21	11
5623	22323779	9	21	11
427	22323779	9	21	4
6688	22323779	9	21	3
6688	22323779	10	23	3
7173	22323779	10	23	17
140683	22323779	11	23	16
5723	22323779	11	23	16
5623	22323779	11	23	16
7173	22323779	12	23	16
140683	22323779	13	27	16
5723	22323779	13	27	16
5623	22323779	13	27	16
6688	22323779	13	27	4
7173	22323779	13	27	25
140683	22323779	14	21	5
5723	22323779	14	21	5
5623	22323779	14	21	5
427	22323779	14	21	18
7173	22323779	14	21	7
140683	22323779	15	17	8
5723	22323779	15	17	8
5623	22323779	15	17	8
7173	22323779	15	17	10
6688	22323748	2	9	2
6688	22323748	3	13	5
6688	22323748	4	51	25
150921	22323748	4	51	35
1984	22323748	5	21	4
3036	22323748	5	21	12
6688	22323748	5	21	7
6688	22323748	7	17	4
6688	22323748	8	14	12
1984	22323748	9	43	11
6688	22323748	9	43	4
1057	22323745	3	31	21
1984	22323745	3	31	2
6688	22323745	3	31	17
81624	22323745	4	62	45
1057	22323745	4	62	17
1984	22323745	4	62	30
4504	22323745	4	62	27
3036	22323745	4	62	48
5080	22323745	4	62	45
6688	22323745	4	62	10
120892	22323743	2	13	2
120892	22323743	3	38	29
81624	22323743	3	38	32
5080	22323743	3	38	32
6688	22323743	3	38	3
6749	22323743	3	38	5
120892	22323743	4	18	16
6688	22323743	6	16	10
1984	22323743	8	14	12
6688	22323743	8	14	7
1984	22323743	9	24	9
3033	22323743	9	24	8
1984	22323743	10	15	1
120892	22323743	11	22	6
120892	22323743	12	17	4
7776	22323743	12	17	15
120892	22323743	13	22	10
1984	22323743	13	22	17
1984	22321866	2	20	6
6688	22321866	2	20	5
6678	22321866	3	33	11
6688	22321866	3	33	14
3036	22321866	4	20	12
6688	22321866	4	20	9
1984	22321866	5	17	10
6688	22321866	5	17	9
6688	22321866	6	12	9
1984	22321866	7	17	10
6688	22321866	7	17	12
1984	22321866	8	13	1
6688	22321866	8	13	11
1984	22321866	9	15	1
1984	22321866	10	16	1
6688	22321866	10	16	14
1984	22321866	11	25	5
6688	22321866	11	25	11
613	22321866	12	11	10
1984	22321866	14	16	7
6688	22321866	14	16	10
1984	22321866	15	28	11
6688	22321866	15	28	15
81624	22321864	2	18	10
1984	22321864	2	18	5
5080	22321864	2	18	10
6688	22319547	2	17	8
81624	22319547	3	30	11
3036	22319547	3	30	6
5080	22319547	3	30	11
1984	22319547	5	27	3
6688	22319547	5	27	9
6688	22319547	7	28	8
6688	22319547	8	34	7
81624	22316445	3	19	15
5080	22316445	3	19	15
6688	22316445	3	19	18
1984	22316445	5	24	3
6678	22316445	6	42	12
6688	22316445	6	42	34
6678	22316445	9	28	10
6688	22316445	9	28	5
613	22316445	11	26	13
6688	22316445	12	18	6
6688	22316445	13	14	3
6688	22316445	15	24	18
6688	22316445	16	13	6
120892	22315971	2	28	14
6678	22315971	2	28	17
6688	22315971	2	28	4
64663	22315971	2	28	18
120892	22315971	3	22	4
3036	22315971	3	22	6
6688	22315971	3	22	15
120892	22315971	4	10	10
6688	22315971	5	15	8
120892	22315971	6	20	14
6678	22315971	6	20	13
6688	22315971	6	20	3
120892	22315971	7	17	4
6688	22315971	7	17	11
64663	22315971	7	17	17
120892	22315971	8	17	4
120892	22315971	9	21	12
6678	22315971	9	21	16
6688	22315971	9	21	11
120892	22315971	10	31	5
6688	22315971	10	31	3
64663	22315971	11	1	1
120892	22315971	12	24	4
120892	22315971	13	30	13
6678	22315971	13	30	7
6688	22315971	13	30	23
120892	22315971	14	22	8
6688	22315971	15	11	10
6688	22315428	2	11	6
81624	22315428	3	46	32
5080	22315428	3	46	32
6688	22315428	3	46	20
6688	22315428	4	19	11
81624	22315428	5	35	20
1984	22315428	5	35	11
5080	22315428	5	35	20
6688	22315428	5	35	23
81624	22315428	6	36	33
1984	22315428	6	36	19
5080	22315428	6	36	33
6688	22315428	6	36	8
6688	22315428	7	34	20
1984	22315428	9	40	30
6688	22315428	9	40	11
1057	22315428	10	30	21
6688	22315428	10	30	10
6688	22314796	2	11	2
1984	22314796	4	21	1
6688	22314796	4	21	3
6678	22314796	5	50	42
6688	22314796	5	50	8
1984	22314796	6	20	6
6688	22314796	6	20	18
6688	22314796	7	24	5
1984	22314796	8	33	8
6749	22314796	8	33	15
6688	22314796	9	21	11
81624	22314796	11	35	19
1984	22314796	11	35	27
5080	22314796	11	35	19
6688	22314796	11	35	8
6688	22314754	2	10	6
81624	22314754	4	16	6
5080	22314754	4	16	6
6678	22314754	4	16	8
6688	22314754	7	15	4
80210	22314754	8	24	6
6688	22314754	12	12	5
80210	22314754	13	24	1
1984	22314754	13	24	15
1984	22314754	14	19	4
6688	22314754	15	24	13
6688	22314754	16	20	4
81624	22308089	2	28	6
5080	22308089	2	28	6
6688	22308089	2	28	2
6688	22308089	3	20	12
6688	22308089	4	27	4
6688	22308089	5	13	3
81624	22308089	6	40	30
922	22308089	6	40	2
1786	22308089	6	40	2
1984	22308089	6	40	13
5080	22308089	6	40	30
6688	22308089	6	40	9
1984	22308089	7	31	7
6688	22308089	7	31	9
1984	22308089	8	56	12
3033	22308089	8	56	13
10899	22308089	8	56	33
3033	22308089	9	12	10
6688	22308089	9	12	1
3033	22308089	10	21	5
6678	22308089	10	21	20
6688	22308089	10	21	1
6688	22308089	11	16	3
1984	22308089	12	16	9
6688	22308089	12	16	5
1984	22308089	15	21	18
6688	22308089	15	21	3
6688	22308089	16	20	2
1984	22307450	3	33	16
6688	22307450	3	33	20
6678	22307450	5	17	7
6688	22307450	6	17	3
3036	22307450	7	31	28
6688	22307450	8	20	7
81624	22307450	10	31	26
5080	22307450	10	31	26
6688	22307450	10	31	8
6678	22307450	12	38	29
6688	22307450	12	38	13
6688	22307450	13	13	11
6678	22307450	14	20	4
225	22303740	3	22	21
4548	22303740	4	18	6
1984	22303740	5	20	1
3036	22303740	5	20	11
6688	22303740	7	17	14
6688	22303740	8	10	6
1984	22301995	2	18	6
6678	22301995	2	18	10
6688	22301995	2	18	13
6688	22301995	3	21	3
6688	22301995	4	17	4
1984	22301995	6	29	16
6688	22301995	6	29	21
3036	22301561	3	19	4
6688	22301561	3	19	12
6688	22301561	5	10	9
1984	22298861	2	15	12
6688	22298861	2	15	2
3036	22298861	3	19	15
6688	22298861	3	19	4
81624	22298861	4	25	5
5080	22298861	4	25	5
6688	22298861	4	25	11
1984	22298861	5	24	5
1984	22298861	6	47	28
6688	22298861	8	29	14
7776	22298861	8	29	27
7776	22298861	9	27	25
6688	22298861	10	16	4
1984	22298861	11	14	10
6688	22297542	3	11	6
1984	22297542	5	27	4
6688	22297542	5	27	9
1984	22297542	6	48	24
6688	22297542	6	48	44
6688	22297542	7	15	7
81624	22297542	8	26	5
1984	22297542	8	26	21
5080	22297542	8	26	5
6688	22297542	8	26	4
6688	22297542	9	35	15
6678	22297542	11	13	5
6688	22297542	11	13	11
1984	22297542	12	26	5
6678	22297542	12	26	16
6688	22297542	12	26	7
1984	22296116	3	14	4
6688	22296116	4	29	24
6678	22296116	5	21	7
6688	22296116	5	21	16
8011	22295119	2	16	16
6688	22295119	3	12	9
6688	22295119	4	20	8
6688	22295119	6	11	3
6688	22295119	7	31	8
1984	22295119	12	38	25
6688	22295119	12	38	28
6688	22295119	13	22	19
81624	22295119	14	35	8
1984	22295119	14	35	31
5080	22295119	14	35	8
6688	22291041	2	15	5
1984	22291041	3	14	7
6688	22291041	3	14	3
161882	22291041	5	25	15
81624	22291041	5	25	20
4504	22291041	5	25	4
5080	22291041	5	25	20
6688	22291041	5	25	7
1984	22291041	6	28	2
6688	22291041	6	28	4
6688	22291041	8	13	5
161882	22291041	11	14	7
6688	22291041	11	14	4
161882	22291041	12	26	9
6688	22291041	12	26	14
161882	22291041	13	17	3
1984	22287946	2	8	1
1984	22287946	3	42	22
5978	22287946	3	42	3
6688	22287946	3	42	6
613	22287946	4	28	6
6688	22287946	5	20	3
1984	22287946	7	51	2
6531	22287946	7	51	28
6688	22287946	7	51	5
1984	22287946	8	11	4
6688	22287946	8	11	6
6688	22285116	3	24	12
1984	22285116	4	26	15
6688	22285116	4	26	23
6688	22285116	6	31	3
6678	22285116	7	20	18
6688	22285116	7	20	11
1984	22285116	8	12	10
6688	22282650	2	9	2
1984	22282650	3	14	7
1984	22282650	4	25	9
2629	22282650	4	25	4
6688	22282650	4	25	18
1984	22282650	5	15	9
2629	22282650	5	15	13
6688	22282650	5	15	12
613	22282650	7	10	1
2629	22282650	7	10	2
2629	22282650	8	40	11
6688	22282650	8	40	26
2629	22282650	9	13	11
6688	22282650	9	13	2
2629	22282650	10	41	17
3033	22282650	10	41	7
6688	22282650	10	41	1
1984	22282650	11	21	2
6688	22282650	12	20	18
1984	22282650	13	47	21
2629	22282650	13	47	8
5047	22282650	13	47	42
6688	22282650	13	47	18
6688	22282641	2	13	2
1984	22282641	3	25	4
6688	22282641	3	25	7
161882	22282641	4	22	6
81624	22282641	5	19	8
5080	22282641	5	19	8
6678	22282641	5	19	7
1984	22282641	6	12	5
6678	22282641	6	12	10
5506	22282641	7	12	6
6688	22282641	7	12	5
161882	22282641	8	13	8
6688	22282641	8	13	7
1984	22282641	9	27	9
5506	22282641	9	27	13
6688	22282641	9	27	12
5506	22282641	10	16	8
6688	22282641	10	16	7
161882	22282641	12	19	7
5506	22282641	12	19	11
6688	22282641	12	19	6
5506	22282641	13	9	1
161882	22282641	14	24	1
1984	22282641	14	24	13
6688	22282641	14	24	16
1984	22278219	2	10	7
1984	22278219	3	22	5
11316	22278219	5	9	9
1984	22278219	5	9	4
6532	22278219	6	19	4
11316	22278219	8	11	11
6532	22278219	9	21	4
1984	22278219	9	21	10
6688	22278219	10	15	2
6532	22278219	11	27	27
81624	22278152	3	12	4
5080	22278152	3	12	4
81624	22278152	4	20	14
5080	22278152	4	20	14
6688	22278152	4	20	16
6688	22278152	6	41	21
1984	22278152	7	32	30
6688	22278152	7	32	29
3033	22278152	9	24	3
6688	22278152	10	18	15
6688	22278152	11	15	1
1984	22278152	12	12	4
6688	22278003	2	11	2
6688	22278003	3	12	2
81624	22278003	4	37	5
5080	22278003	4	37	5
6688	22278003	4	37	7
1984	22278003	5	17	2
1984	22278003	7	18	13
6688	22278003	7	18	5
55024	22277522	3	19	8
6678	22277522	3	19	5
1984	22277522	4	29	11
6688	22277522	4	29	2
6688	22277522	5	17	5
6688	22277522	6	31	21
5833	22277522	7	23	3
6678	22277522	7	23	13
6688	22277522	7	23	9
6688	22277522	8	20	11
6688	22277522	9	31	8
6688	22277493	2	10	5
6688	22277493	3	19	6
6688	22277493	4	35	6
6688	22277493	6	31	2
1057	22277493	7	18	10
6688	22277493	7	18	3
6688	22277493	9	21	5
6688	22277493	10	15	14
1984	22277493	11	28	23
6688	22277493	11	28	7
6688	22277466	2	9	5
3033	22277466	4	37	26
6688	22277466	4	37	10
7439	22277466	5	22	10
6688	22277466	5	22	1
6688	22277466	6	25	4
3036	22277466	9	24	11
6688	22277466	9	24	4
6688	22277466	10	27	6
6688	22277445	2	10	2
1984	22277445	5	22	17
6688	22277445	5	22	20
7439	22277445	6	32	13
1984	22277445	6	32	25
6688	22277445	6	32	6
81624	22277445	7	20	14
1984	22277445	7	20	9
5080	22277445	7	20	14
6688	22277445	7	20	4
6678	22277432	2	9	6
6688	22277432	3	27	4
6678	22277432	4	20	13
6688	22277432	4	20	15
6688	22277432	6	16	7
1984	22277432	7	23	9
6688	22277432	7	23	20
1984	22277432	9	16	1
613	22277432	10	20	3
6688	22277432	10	20	4
6678	22277432	11	23	8
6688	22277432	11	23	5
79065	22275429	2	17	3
6688	22275429	2	17	15
8408	22275429	2	17	6
6688	22275429	4	12	10
6688	22275429	5	17	12
3036	22275429	6	25	2
6678	22275429	6	25	24
6688	22275429	6	25	19
6688	22275429	7	15	7
6688	22275429	8	24	22
79065	22275429	9	20	1
79065	22275429	10	33	14
6688	22275429	10	33	4
8408	22275429	10	33	11
1984	22275429	11	17	15
6688	22275429	11	17	8
1984	22275429	12	27	4
6678	22275429	12	27	14
1984	22275251	2	19	17
81624	22275251	4	28	10
5080	22275251	4	28	10
6688	22275251	4	28	13
1984	22275251	5	11	9
6678	22275251	5	11	5
1984	22275251	6	30	10
6688	22275251	6	30	13
9377	22275251	7	26	3
1351	22275251	7	26	3
1984	22275251	7	26	2
6688	22275251	7	26	11
1984	22275251	8	28	24
6688	22275251	8	28	10
6688	22275251	9	19	2
6688	22275251	10	29	16
7776	22275251	10	29	27
6688	22275251	11	19	2
6688	22275251	12	22	2
7776	22275251	12	22	20
1984	22275251	13	20	11
6688	22275251	13	20	15
