DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
pa445254	pmid: 22254331	4	15	11
pa445254	pmid: 22254331	5	13	7
pa445254	pmid: 22254331	6	15	9
pa445254	pmid: 22253756	9	35	22
pa445254	pmid: 22251502	3	16	15
pa445254	pmid: 22245093	14	26	10
pa445254	pmid: 22242373	2	9	4
pa445254	pmid: 22241380	2	19	8
pa445254	pmid: 22240861	3	24	8
pa445254	pmid: 22239959	9	52	36
pa445254	pmid: 22238344	2	24	19
pa445254	pmid: 22238344	4	31	29
pa445254	pmid: 22237833	2	12	9
pa445254	pmid: 22237833	3	19	16
pa445254	pmid: 22237722	2	12	11
pa445254	pmid: 22237722	4	18	10
pa445254	pmid: 22237722	6	46	22
pa445254	pmid: 22237722	11	27	20
pa445254	pmid: 22237722	13	30	24
pa445254	pmid: 22237722	14	21	20
pa445254	pmid: 22234991	2	18	17
pa445254	pmid: 22234991	3	32	30
pa445254	pmid: 22234991	5	15	4
pa445254	pmid: 22233685	7	27	26
pa445254	pmid: 22233331	2	13	8
pa445254	pmid: 22233331	3	26	22
pa445254	pmid: 22233167	6	35	17
pa445254	pmid: 22232350	2	16	14
pa445254	pmid: 22232350	3	35	14
pa445254	pmid: 22229124	2	11	4
pa445254	pmid: 22229124	3	25	5
pa445254	pmid: 22229124	4	23	22
pa445254	pmid: 22229124	5	27	3
pa445254	pmid: 22229124	6	21	4
pa445254	pmid: 22229124	7	22	7
pa445254	pmid: 22229124	8	36	16
pa445254	pmid: 22228827	2	8	7
pa445254	pmid: 22228827	3	50	17
pa445254	pmid: 22228826	2	17	4
pa445254	pmid: 22228826	3	21	3
pa445254	pmid: 22228096	3	17	15
pa445254	pmid: 22227451	2	11	10
pa445254	pmid: 22227451	8	24	8
pa445254	pmid: 22222634	2	13	3
pa445254	pmid: 22222634	3	23	21
pa445254	pmid: 22222634	7	38	19
pa445254	pmid: 22220437	2	10	4
pa445254	pmid: 22219231	2	8	7
pa445254	pmid: 22219231	3	16	9
pa445254	pmid: 22219231	5	19	5
pa445254	pmid: 22219231	8	25	13
pa445254	pmid: 22219196	2	17	16
pa445254	pmid: 22219196	4	25	24
pa445254	pmid: 22219196	8	32	30
pa445254	pmid: 22218995	2	18	16
pa445254	pmid: 22218995	8	21	11
pa445254	pmid: 22218995	9	24	12
pa445254	pmid: 22217609	2	5	4
pa445254	pmid: 22217609	3	41	5
pa445254	pmid: 22217609	7	19	15
pa445254	pmid: 22216802	7	40	34
pa445254	pmid: 22215547	3	26	22
pa445254	pmid: 22215534	5	24	17
pa445254	pmid: 22215333	2	13	8
pa445254	pmid: 22215333	3	17	8
pa445254	pmid: 22215333	5	14	7
pa445254	pmid: 22215333	9	21	9
pa445254	pmid: 22213411	2	8	7
pa445254	pmid: 22213411	3	26	10
pa445254	pmid: 22211740	3	24	22
pa445254	pmid: 22211687	7	37	33
pa445254	pmid: 22206149	2	9	3
pa445254	pmid: 22205345	3	14	12
pa445254	pmid: 22205172	2	18	4
pa445254	pmid: 22205172	3	24	9
pa445254	pmid: 22204027	2	8	6
pa445254	pmid: 22202748	12	61	36
pa445254	pmid: 22198405	2	7	3
pa445254	pmid: 22198405	3	15	9
pa445254	pmid: 22198404	2	10	9
pa445254	pmid: 22194359	7	33	20
pa445254	pmid: 22193376	2	6	5
pa445254	pmid: 22191069	2	12	6
pa445254	pmid: 22191069	4	23	15
pa445254	pmid: 22191067	2	12	11
pa445254	pmid: 22191067	3	22	5
pa445254	pmid: 22191067	4	35	7
pa445254	pmid: 22191067	7	27	18
pa445254	pmid: 22191065	2	22	8
pa445254	pmid: 22191065	3	14	13
pa445254	pmid: 22191065	5	31	18
pa445254	pmid: 22191065	6	36	20
pa445254	pmid: 22190368	2	9	4
pa445254	pmid: 22190368	4	15	13
pa445254	pmid: 22190305	2	11	6
pa445254	pmid: 22190305	4	26	14
pa445254	pmid: 22190305	5	14	8
pa445254	pmid: 22190305	6	14	10
pa445254	pmid: 22188655	3	40	9
pa445254	pmid: 22188090	2	14	9
pa445254	pmid: 22188082	2	8	7
pa445254	pmid: 22166466	2	9	7
pa445254	pmid: 22166466	3	11	6
pa445254	pmid: 22166466	4	26	4
pa445254	pmid: 22166466	6	29	5
pa445254	pmid: 22166466	7	21	15
pa445254	pmid: 22166466	10	10	3
pa445254	pmid: 22166466	12	23	13
pa445254	pmid: 22166457	2	9	5
pa445254	pmid: 22166457	3	21	19
pa445254	pmid: 22166446	2	13	12
pa445254	pmid: 22166446	4	19	18
pa445254	pmid: 22166446	5	30	15
pa445254	pmid: 22166446	6	26	25
pa445254	pmid: 22166433	3	41	14
pa445254	pmid: 22166433	5	29	17
pa445254	pmid: 22166425	2	10	9
pa445254	pmid: 22166425	3	20	7
pa445254	pmid: 22166425	6	27	10
pa445254	pmid: 22166418	3	41	37
pa445254	pmid: 22187000	9	40	33
pa445254	pmid: 22185909	5	10	9
pa445254	pmid: 22180089	4	21	20
pa445254	pmid: 22180089	5	26	21
pa445254	pmid: 22180089	8	26	7
pa445254	pmid: 22180013	3	15	14
pa445254	pmid: 22178471	3	27	11
pa445254	pmid: 22173095	2	22	12
pa445254	pmid: 22172999	2	12	7
pa445254	pmid: 22172611	2	8	7
pa445254	pmid: 22171910	11	30	12
pa445254	pmid: 22171907	2	11	10
pa445254	pmid: 22171907	3	41	39
pa445254	pmid: 22171907	6	20	17
pa445254	pmid: 22171055	2	16	6
pa445254	pmid: 22171055	5	15	13
pa445254	pmid: 22171055	8	26	17
pa445254	pmid: 22171055	9	22	8
pa445254	pmid: 22171055	10	13	12
pa445254	pmid: 22171055	12	29	8
pa445254	pmid: 22171009	3	23	13
pa445254	pmid: 22170881	3	76	41
pa445254	pmid: 22170277	2	11	7
pa445254	pmid: 22170276	2	15	13
pa445254	pmid: 22170276	7	19	9
pa445254	pmid: 22170275	2	6	5
pa445254	pmid: 22170275	3	21	9
pa445254	pmid: 22167981	2	7	4
pa445254	pmid: 22165370	2	9	5
pa445254	pmid: 22165370	3	25	21
pa445254	pmid: 22165049	3	26	10
pa445254	pmid: 22165049	12	28	27
pa445254	pmid: 22164191	2	7	6
pa445254	pmid: 22164191	3	32	14
pa445254	pmid: 22162696	2	6	5
pa445254	pmid: 22162696	3	12	11
pa445254	pmid: 22162696	4	21	17
pa445254	pmid: 22162696	6	18	6
pa445254	pmid: 22162696	7	20	14
pa445254	pmid: 22162696	8	22	16
pa445254	pmid: 22162533	2	10	9
pa445254	pmid: 22162533	3	29	28
pa445254	pmid: 22162144	2	13	10
pa445254	pmid: 22162144	3	29	20
pa445254	pmid: 22161420	2	5	4
pa445254	pmid: 22161420	3	27	15
pa445254	pmid: 22161420	4	20	19
pa445254	pmid: 22161420	5	29	28
pa445254	pmid: 22161420	8	22	21
pa445254	pmid: 22161420	17	17	16
pa445254	pmid: 22161166	2	10	9
pa445254	pmid: 22161166	3	19	18
pa445254	pmid: 22161166	4	12	4
pa445254	pmid: 22161166	6	32	31
pa445254	pmid: 22161166	9	13	9
pa445254	pmid: 22159100	2	8	7
pa445254	pmid: 22159100	4	32	6
pa445254	pmid: 22159053	2	9	8
pa445254	pmid: 22159053	3	27	12
pa445254	pmid: 22159053	6	12	2
pa445254	pmid: 22157432	2	16	15
pa445254	pmid: 22157432	3	35	28
pa445254	pmid: 22157187	2	17	16
pa445254	pmid: 22157006	4	32	23
pa445254	pmid: 22152433	2	12	11
pa445254	pmid: 22152433	3	42	35
pa445254	pmid: 22152433	4	30	6
pa445254	pmid: 22152432	2	10	6
pa445254	pmid: 22152432	3	26	18
pa445254	pmid: 22152432	4	37	18
pa445254	pmid: 22152432	5	15	6
pa445254	pmid: 22045323	3	17	4
pa445254	pmid: 22045323	9	39	38
pa445254	pmid: 22147682	3	10	9
pa445254	pmid: 22147682	4	10	9
pa445254	pmid: 22147682	5	20	12
pa445254	pmid: 22147682	6	29	16
pa445254	pmid: 22147682	7	29	14
pa445254	pmid: 22147682	8	11	10
pa445254	pmid: 22146929	2	11	6
pa445254	pmid: 22143761	3	27	23
pa445254	pmid: 22143365	2	17	16
pa445254	pmid: 22142042	8	24	22
pa445254	pmid: 22141289	2	5	4
pa445254	pmid: 22141289	6	24	16
pa445254	pmid: 22141289	7	11	10
pa445254	pmid: 22140196	2	10	9
pa445254	pmid: 22140196	4	10	3
pa445254	pmid: 22140196	11	15	3
pa445254	pmid: 22139623	2	12	7
pa445254	pmid: 22139623	3	17	9
pa445254	pmid: 22139623	5	31	13
pa445254	pmid: 22138181	2	6	4
pa445254	pmid: 22136163	2	13	9
pa445254	pmid: 22135272	4	12	11
pa445254	pmid: 22134940	2	11	10
pa445254	pmid: 22134940	3	16	5
pa445254	pmid: 22134940	6	12	8
pa445254	pmid: 22134915	5	26	22
pa445254	pmid: 22134915	11	30	26
pa445254	pmid: 22131425	2	17	16
pa445254	pmid: 22128150	3	10	9
pa445254	pmid: 22123787	2	9	8
pa445254	pmid: 22118943	2	13	11
pa445254	pmid: 22118943	3	40	28
pa445254	pmid: 22115849	2	11	2
pa445254	pmid: 22115849	7	29	12
pa445254	pmid: 22115849	9	26	11
pa445254	pmid: 22115849	10	27	23
pa445254	pmid: 22113202	3	19	18
pa445254	pmid: 22113202	11	44	36
pa445254	pmid: 22113180	3	28	12
pa445254	pmid: 22113180	5	24	2
pa445254	pmid: 22113180	8	11	3
pa445254	pmid: 22111351	2	15	14
pa445254	pmid: 22111351	3	11	3
pa445254	pmid: 22111351	4	35	24
pa445254	pmid: 22111351	5	25	9
pa445254	pmid: 22111351	6	27	26
pa445254	pmid: 22111351	7	35	30
pa445254	pmid: 22111351	8	13	12
pa445254	pmid: 22111351	9	23	18
pa445254	pmid: 22111351	10	27	26
pa445254	pmid: 22111351	11	18	17
pa445254	pmid: 22110694	11	19	8
pa445254	pmid: 22106466	2	5	4
pa445254	pmid: 22104010	2	15	10
pa445254	pmid: 22104010	3	17	14
pa445254	pmid: 22103807	8	32	30
pa445254	pmid: 22101994	2	8	7
pa445254	pmid: 22101994	3	32	30
pa445254	pmid: 22094648	2	14	13
pa445254	pmid: 22094648	4	25	14
pa445254	pmid: 22094370	2	9	4
pa445254	pmid: 22094370	3	14	12
pa445254	pmid: 22094225	3	17	16
pa445254	pmid: 22094131	2	6	3
pa445254	pmid: 22094131	3	26	11
pa445254	pmid: 22094131	6	40	28
pa445254	pmid: 22094131	7	19	18
pa445254	pmid: 22093536	2	10	9
pa445254	pmid: 22090514	2	15	14
pa445254	pmid: 22090352	2	9	4
pa445254	pmid: 22090352	3	24	23
pa445254	pmid: 22090352	5	38	12
pa445254	pmid: 22089194	3	24	20
pa445254	pmid: 22087832	11	48	6
pa445254	pmid: 22086882	2	11	4
pa445254	pmid: 22086882	3	21	17
pa445254	pmid: 22086882	5	34	20
pa445254	pmid: 22086882	6	32	2
pa445254	pmid: 22086882	7	16	9
pa445254	pmid: 22086882	8	27	9
pa445254	pmid: 22086882	10	19	2
pa445254	pmid: 22086882	11	21	18
pa445254	pmid: 22086726	10	21	20
pa445254	pmid: 22086428	2	6	5
pa445254	pmid: 22086428	3	28	16
pa445254	pmid: 22086220	3	52	23
pa445254	pmid: 22086220	7	26	20
pa445254	pmid: 22085607	3	15	11
pa445254	pmid: 22085607	10	27	17
pa445254	pmid: 22085464	4	23	14
pa445254	pmid: 22083847	2	8	4
pa445254	pmid: 22083847	3	26	10
pa445254	pmid: 22081675	2	20	7
pa445254	pmid: 22081612	3	20	7
pa445254	pmid: 22080837	2	8	2
pa445254	pmid: 22080837	3	33	17
pa445254	pmid: 22080197	2	21	16
pa445254	pmid: 22080197	3	43	15
pa445254	pmid: 22080197	4	16	15
pa445254	pmid: 22078885	4	24	6
pa445254	pmid: 22078875	6	46	38
pa445254	pmid: 22077446	5	29	11
pa445254	pmid: 22076542	2	13	12
pa445254	pmid: 22076542	3	27	15
pa445254	pmid: 22075521	2	12	11
pa445254	pmid: 22075521	5	38	36
pa445254	pmid: 22075521	7	26	4
pa445254	pmid: 22075521	9	27	26
pa445254	pmid: 22075521	12	11	9
pa445254	pmid: 22075520	3	24	10
pa445254	pmid: 22075520	4	29	17
pa445254	pmid: 22075520	5	27	13
pa445254	pmid: 22075520	6	26	13
pa445254	pmid: 22075520	10	29	17
pa445254	pmid: 22075520	11	26	12
pa445254	pmid: 22075520	14	27	24
pa445254	pmid: 22074315	3	18	16
pa445254	pmid: 22072682	2	11	10
pa445254	pmid: 22072682	4	20	7
pa445254	pmid: 22072682	7	29	26
pa445254	pmid: 22072662	6	31	30
pa445254	pmid: 22068482	3	13	11
pa445254	pmid: 22067963	3	23	4
pa445254	pmid: 22067166	2	16	15
pa445254	pmid: 22067166	3	14	13
pa445254	pmid: 22067166	4	11	10
pa445254	pmid: 22065755	3	10	8
pa445254	pmid: 22065209	2	8	7
pa445254	pmid: 22065209	3	27	16
pa445254	pmid: 22064613	2	14	13
pa445254	pmid: 22064613	3	36	22
pa445254	pmid: 22045328	3	25	7
pa445254	pmid: 22045327	8	38	37
pa445254	pmid: 22045326	2	10	9
pa445254	pmid: 22045326	3	26	25
pa445254	pmid: 22045325	2	15	3
pa445254	pmid: 22045325	3	29	5
pa445254	pmid: 22045324	2	5	4
pa445254	pmid: 22045324	3	12	11
pa445254	pmid: 22045324	4	63	18
pa445254	pmid: 22045322	2	11	3
pa445254	pmid: 22045322	3	18	16
pa445254	pmid: 22045321	7	38	18
pa445254	pmid: 22045320	2	6	5
pa445254	pmid: 22057400	2	11	10
pa445254	pmid: 22057087	3	22	10
pa445254	pmid: 22057087	5	25	21
pa445254	pmid: 22056989	2	15	14
pa445254	pmid: 22056989	6	24	12
pa445254	pmid: 22056989	12	15	9
pa445254	pmid: 22056989	15	26	25
pa445254	pmid: 22053701	2	13	12
pa445254	pmid: 22053701	4	25	14
pa445254	pmid: 22052348	3	20	16
pa445254	pmid: 22049200	2	7	3
pa445254	pmid: 22049200	3	24	12
pa445254	pmid: 22048791	3	40	20
pa445254	pmid: 22046592	2	6	5
pa445254	pmid: 22046592	3	36	2
pa445254	pmid: 22046592	4	33	11
pa445254	pmid: 22046592	5	65	52
pa445254	pmid: 22046592	6	19	12
pa445254	pmid: 22045282	3	29	16
pa445254	pmid: 22045168	2	10	9
pa445254	pmid: 22045168	3	13	9
pa445254	pmid: 22045168	7	14	9
pa445254	pmid: 22045168	11	18	7
pa445254	pmid: 22043288	2	8	7
pa445254	pmid: 22043288	3	17	15
pa445254	pmid: 22043175	3	13	11
pa445254	pmid: 22042176	3	29	19
pa445254	pmid: 22042172	2	7	3
pa445254	pmid: 22042172	3	27	9
pa445254	pmid: 22042171	2	15	4
pa445254	pmid: 22041733	3	14	5
pa445254	pmid: 22041733	6	20	18
pa445254	pmid: 22040900	2	8	7
pa445254	pmid: 22040900	3	35	18
pa445254	pmid: 22021174	2	16	15
pa445254	pmid: 22021174	3	45	16
pa445254	pmid: 22021173	2	16	15
pa445254	pmid: 22021173	3	22	16
pa445254	pmid: 22021173	4	30	18
pa445254	pmid: 22037902	3	33	25
pa445254	pmid: 22037599	3	35	28
pa445254	pmid: 22036119	2	10	5
pa445254	pmid: 22034770	2	5	4
pa445254	pmid: 22034770	10	66	65
pa445254	pmid: 22032468	4	27	19
pa445254	pmid: 22032181	6	30	13
pa445254	pmid: 22031685	2	9	4
pa445254	pmid: 22030944	2	15	14
pa445254	pmid: 22030944	3	25	23
pa445254	pmid: 22028228	2	7	6
pa445254	pmid: 22027928	2	11	10
pa445254	pmid: 22027928	3	13	11
pa445254	pmid: 22027794	2	17	8
pa445254	pmid: 22027794	3	24	11
pa445254	pmid: 22027794	4	17	10
pa445254	pmid: 22027794	10	36	4
pa445254	pmid: 22026326	2	13	12
pa445254	pmid: 22026326	3	30	14
pa445254	pmid: 22025277	3	22	5
pa445254	pmid: 22025277	8	32	28
pa445254	pmid: 22023479	3	28	19
pa445254	pmid: 22022363	4	53	24
pa445254	pmid: 22022275	13	10	8
pa445254	pmid: 22022189	3	18	17
pa445254	pmid: 22022189	7	32	2
pa445254	pmid: 22020457	2	22	21
pa445254	pmid: 22020457	4	17	4
pa445254	pmid: 22019972	2	14	13
pa445254	pmid: 22019972	3	23	22
pa445254	pmid: 22019972	5	10	5
pa445254	pmid: 22019972	9	31	23
pa445254	pmid: 22019648	2	15	14
pa445254	pmid: 22019648	3	29	28
pa445254	pmid: 22019648	6	31	9
pa445254	pmid: 22019646	2	15	14
pa445254	pmid: 22019646	6	34	5
pa445254	pmid: 22018708	2	8	6
pa445254	pmid: 22018708	8	21	13
pa445254	pmid: 22018708	13	20	16
pa445254	pmid: 22017994	3	17	14
pa445254	pmid: 22017983	3	17	12
pa445254	pmid: 22017983	5	20	19
pa445254	pmid: 22016808	2	15	14
pa445254	pmid: 22014436	3	20	14
pa445254	pmid: 22014436	8	32	12
pa445254	pmid: 22014434	2	6	5
pa445254	pmid: 22014434	3	17	16
pa445254	pmid: 22014434	6	22	8
pa445254	pmid: 22014118	11	21	15
pa445254	pmid: 22013567	2	11	10
pa445254	pmid: 22013567	5	14	12
pa445254	pmid: 22013566	2	6	3
pa445254	pmid: 22013566	3	14	12
pa445254	pmid: 22013566	5	15	13
pa445254	pmid: 22013566	10	20	16
pa445254	pmid: 22013566	11	19	17
pa445254	pmid: 22013420	2	21	20
pa445254	pmid: 22013420	3	25	3
pa445254	pmid: 22013420	8	35	9
pa445254	pmid: 22013209	2	12	11
pa445254	pmid: 22011618	5	29	28
pa445254	pmid: 22008259	5	31	19
pa445254	pmid: 22006323	3	31	8
pa445254	pmid: 22005945	2	6	2
pa445254	pmid: 22004453	2	17	11
pa445254	pmid: 22004453	3	16	15
pa445254	pmid: 22004453	8	21	14
pa445254	pmid: 22003392	2	12	11
pa445254	pmid: 22003392	3	18	16
pa445254	pmid: 22003171	2	10	9
pa445254	pmid: 22003171	3	17	11
pa445254	pmid: 22001711	4	33	13
pa445254	pmid: 22001456	2	16	10
pa445254	pmid: 22001456	3	13	3
pa445254	pmid: 22001363	3	22	19
pa445254	pmid: 22000081	2	13	5
pa445254	pmid: 22000081	3	30	18
pa445254	pmid: 21999316	2	16	10
pa445254	pmid: 21999316	4	23	14
pa445254	pmid: 21999316	7	12	2
pa445254	pmid: 21999316	17	29	2
pa445254	pmid: 21999316	22	29	17
pa445254	pmid: 21998100	2	11	8
pa445254	pmid: 21998100	10	26	22
pa445254	pmid: 21995451	2	13	7
pa445254	pmid: 21995451	3	15	8
pa445254	pmid: 21994362	4	16	6
pa445254	pmid: 21994149	2	12	6
pa445254	pmid: 21993592	5	37	34
pa445254	pmid: 21993592	6	30	14
pa445254	pmid: 21992241	2	12	11
pa445254	pmid: 21992241	3	27	7
pa445254	pmid: 21989633	2	15	10
pa445254	pmid: 21989633	3	40	12
pa445254	pmid: 21989388	2	19	11
pa445254	pmid: 21989388	3	29	6
pa445254	pmid: 21989388	9	32	5
pa445254	pmid: 21983019	2	11	10
pa445254	pmid: 21983019	3	10	9
pa445254	pmid: 21983019	5	24	22
pa445254	pmid: 21983019	6	24	7
pa445254	pmid: 21983019	7	34	26
pa445254	pmid: 21983019	11	27	26
pa445254	pmid: 21983019	12	17	5
pa445254	pmid: 21983019	13	15	14
pa445254	pmid: 21982566	2	13	9
pa445254	pmid: 21982566	3	47	15
pa445254	pmid: 21982566	8	50	18
pa445254	pmid: 21981780	7	18	14
pa445254	pmid: 21981324	2	8	7
pa445254	pmid: 21981324	3	20	15
pa445254	pmid: 21980177	2	4	3
pa445254	pmid: 21978795	3	43	27
pa445254	pmid: 21978795	7	24	17
pa445254	pmid: 21977026	2	12	3
pa445254	pmid: 21977026	4	34	14
pa445254	pmid: 21977026	6	26	7
pa445254	pmid: 21977026	10	19	7
pa445254	pmid: 21977026	12	17	16
pa445254	pmid: 21975386	3	37	25
pa445254	pmid: 21971352	2	17	9
pa445254	pmid: 21971352	3	28	19
pa445254	pmid: 21970092	2	15	3
pa445254	pmid: 21970092	4	25	9
pa445254	pmid: 21970092	5	10	6
pa445254	pmid: 21970092	10	12	11
pa445254	pmid: 21970092	11	16	12
pa445254	pmid: 21970092	13	24	12
pa445254	pmid: 21970092	16	7	6
pa445254	pmid: 21970092	19	28	3
pa445254	pmid: 21969043	2	10	9
pa445254	pmid: 21967281	2	20	19
pa445254	pmid: 21967281	3	26	15
pa445254	pmid: 21966866	2	14	13
pa445254	pmid: 21966751	2	7	4
pa445254	pmid: 21966751	3	16	14
pa445254	pmid: 21964848	7	17	10
pa445254	pmid: 21963735	2	11	10
pa445254	pmid: 21963735	3	31	23
pa445254	pmid: 21963735	4	18	5
pa445254	pmid: 21961647	3	29	27
pa445254	pmid: 21961105	3	30	5
pa445254	pmid: 21960305	7	28	10
pa445254	pmid: 21960214	2	14	13
pa445254	pmid: 21960214	3	19	18
pa445254	pmid: 21960214	5	13	12
pa445254	pmid: 21960008	2	9	8
pa445254	pmid: 21960008	3	28	5
pa445254	pmid: 21959675	2	13	12
pa445254	pmid: 21959675	3	17	15
pa445254	pmid: 21959675	8	15	10
pa445254	pmid: 21959370	2	8	7
pa445254	pmid: 21959370	3	29	16
pa445254	pmid: 21957415	8	33	22
pa445254	pmid: 21956541	2	9	4
pa445254	pmid: 21956541	3	20	18
pa445254	pmid: 21955729	2	20	19
pa445254	pmid: 21954089	2	16	11
