Name	GeneName	PMID	Sentence index	The # of total tokens	Location of token	which abbreviation
DBS	4036	22234991	6	33	9	1
DBS	4036	22234991	9	28	2	1
DBS	4036	22234991	10	25	1	1
DBS	4036	22234991	13	30	1	1
GD	5047	22233685	7	27	13	1
GD	5047	22233685	9	12	12	1
GD	5047	22233685	11	34	22	1
PINK1	65018	22233331	3	28	19	0
PINK1	65018	22233331	7	17	2	0
PINK1	65018	22233331	10	13	6	0
A	1984	22233167	6	35	1	1
RAB7L1	8934	22232350	2	16	10	0
A	1984	22232350	5	7	1	1
SLC41A1	254428	22232350	6	26	11	0
RAB7L1	8934	22232350	6	26	9	0
RAB7L1	8934	22232350	8	25	9	0
P	7776	22232350	9	15	13	1
RAB7L1	8934	22232350	10	33	15	0
LRRK2	120892	22232350	12	45	44	0
GBA	2629	22232350	12	45	42	0
RAB7L1	8934	22232350	14	29	12	0
LRRK2	120892	22228096	2	11	1	0
DLP1	10059	22228096	2	11	11	1
LRRK2	120892	22228096	5	44	6	0
LRRK2	120892	22228096	6	24	5	0
DLP1	10059	22228096	6	24	8	1
DLP1	10059	22228096	7	17	4	1
LRRK2	120892	22228096	8	35	16	0
DLP1	10059	22228096	8	35	27	1
LRRK2	120892	22228096	9	28	4	0
DLP1	10059	22228096	9	28	11	1
DJ-1	11315	22227451	4	35	23	1
ON	6678	22222634	7	38	31	1
A	1984	22219231	6	4	1	1
A	1984	22219196	3	19	1	1
GSTO1	9446	22219196	5	33	8	0
ATP	51761	22219196	6	16	5	1
ATP	51761	22219196	7	34	7	1
ATP	51761	22219196	8	32	20	1
GPE	2996	22218995	6	19	1	1
GPE	2996	22218995	7	21	6	1
GPE	2996	22218995	8	22	6	1
GPE	2996	22218995	10	38	16	1
GPE	2996	22218995	12	25	11	1
A	1984	22216802	5	35	1	1
B	10899	22211687	6	37	35	1
T	6862	22211687	6	37	26	0
T	6862	22211682	6	17	3	0
NHS	4810	22206149	2	9	7	0
BS	641	22205345	5	29	2	1
BS	641	22205345	6	46	8	1
LBP	3929	22205345	6	46	41	0
BS	641	22205345	9	26	3	1
LBP	3929	22205345	9	26	15	0
A	1984	22205172	2	19	14	1
A	1984	22205172	9	33	3	1
C	64663	22202748	15	10	10	1
ON	6678	22191067	4	35	20	1
ON	6678	22191067	5	11	4	1
ANG	283	22190368	4	15	7	0
ALS	3483	22190368	4	15	4	1
ALS	6647	22190368	4	15	4	1
ALS	3483	22190368	5	30	4	1
ALS	6647	22190368	5	30	4	1
ANG	283	22190368	6	13	5	0
ALS	3483	22190368	6	13	11	1
ALS	6647	22190368	6	13	11	1
ANG	283	22190368	7	40	7	0
ALS	3483	22190368	7	40	9	1
ALS	6647	22190368	7	40	9	1
ANG	283	22190368	10	40	14	0
ALS	3483	22190368	10	40	18	1
ALS	6647	22190368	10	40	18	1
ANG	283	22190368	11	19	6	0
ALS	3483	22190368	11	19	15	1
ALS	6647	22190368	11	19	15	1
ANG	283	22190368	12	19	18	0
ALS	3483	22190368	12	19	16	1
ALS	6647	22190368	12	19	16	1
ANG	283	22190368	13	9	1	0
ALS	3483	22190368	13	9	7	1
ALS	6647	22190368	13	9	7	1
A	1984	22166457	3	21	1	1
LRRK2	120892	22166457	5	24	23	0
SNCA	6622	22166457	5	24	13	0
LRRK2	120892	22166457	6	26	7	0
A	1984	22166457	6	26	1	1
BST1	683	22166457	7	31	6	0
GAK	2580	22166457	7	31	18	0
A	1984	22166433	4	27	1	1
DBS	4036	22166425	9	30	7	1
DBS	4036	22166425	11	31	5	1
ALS	3483	22166418	3	41	41	1
ALS	6647	22166418	3	41	41	1
OA	4937	22185204	4	20	4	1
OA	4937	22185204	5	30	24	1
MIA	8190	22185204	6	28	13	0
OA	4937	22185204	7	33	24	1
MIA	8190	22185204	14	20	9	0
OA	4937	22185204	14	20	20	1
MIA	8190	22185204	15	25	3	0
OA	4937	22185204	15	25	25	1
OA	4937	22185204	16	40	39	1
H	2523	22180710	5	3	3	1
H	2523	22180710	7	6	6	1
H	2523	22180710	8	20	20	1
H	2523	22180710	10	18	18	1
H	2523	22180710	14	16	16	1
H	2523	22180710	16	6	6	1
H	2523	22180710	17	25	25	1
H	2523	22180710	19	8	8	1
DJ-1	11315	22173095	5	30	8	1
DJ-1	11315	22173095	7	56	18	1
DJ-1	11315	22173095	8	39	13	1
A	1984	22171907	3	41	1	1
A	1984	22171907	11	17	1	1
C	64663	22171009	8	34	19	1
LRRK2	120892	22170881	2	10	8	0
LRRK2	120892	22170881	3	76	16	0
LRRK2	120892	22170881	4	34	15	0
LRRK2	120892	22170881	8	25	14	0
A	1984	22170881	10	32	1	1
DBS	4036	22170276	5	14	14	1
DBS	4036	22170276	6	19	9	1
DBS	4036	22170276	14	20	20	1
A	1984	22170275	3	21	1	1
A	1984	22165049	3	26	1	1
C	64663	22165049	11	30	15	1
A	1984	22162696	4	21	1	1
A	1984	22162144	6	12	1	1
P	7776	22162144	14	18	16	1
A	1984	22161420	3	27	1	1
DBS	4036	22161166	4	12	10	1
DBS	4036	22161166	6	32	29	1
DBS	4036	22161166	9	13	13	1
P	7776	22159053	9	38	13	1
PDF	64146	22157432	4	11	2	2
PDF	5201	22157432	4	11	2	1
PDF	64146	22157432	9	16	3	2
PDF	5201	22157432	9	16	3	1
PDF	64146	22157432	10	10	1	2
PDF	5201	22157432	10	10	1	1
PDF	64146	22157432	13	24	11	2
PDF	5201	22157432	13	24	11	1
PDF	64146	22157432	14	29	14	2
PDF	5201	22157432	14	29	14	1
CYP3A4	1576	22157006	4	32	4	0
A	1984	22152432	4	37	1	1
C	64663	22142042	8	24	9	1
C	64663	22142042	10	24	23	1
A	1984	22136163	5	31	4	1
A	1984	22134940	4	23	1	1
A	1984	22134940	6	12	1	1
A	1984	22134915	8	25	14	1
B	10899	22134915	8	25	15	1
C	64663	22134915	8	25	17	1
A	1984	22128150	7	7	1	1
APP	351	22118943	6	11	6	0
PARK2	5071	22118943	6	11	9	0
SNCA	6622	22118943	6	11	7	0
MAPT	4137	22118943	7	23	23	0
PSEN1	5663	22118943	7	23	12	0
PSEN2	5664	22118943	7	23	14	0
LRRK2	120892	22118943	8	23	11	0
SNCA	6622	22118943	8	23	8	0
A	1984	22110694	2	14	1	1
TNF	7124	22110694	2	14	2	0
TNF	7124	22110694	4	18	2	0
C	64663	22110694	6	36	18	1
TNF	7124	22110694	6	36	23	0
EMB	133418	22108829	4	37	31	0
LAMP2	3920	22108829	6	7	3	0
EMB	133418	22108829	8	31	20	0
EMB	133418	22108829	11	28	28	0
LAMP2	3920	22108829	13	9	4	0
MAPT	4137	22104010	2	16	3	0
SNCA	6622	22104010	2	16	1	0
MAPT	4137	22104010	5	24	9	0
SNCA	6622	22104010	5	24	7	0
 H1	11311	22104010	7	36	35	1
MAPT	4137	22104010	7	36	34	0
H1	3009	22104010	7	36	35	1
H1	6013	22104010	7	36	35	1
SNCA	6622	22104010	7	36	2	0
 H1	11311	22104010	8	57	40	1
MAPT	4137	22104010	8	57	39	0
H1	3009	22104010	8	57	40	1
H1	6013	22104010	8	57	40	1
SNCA	6622	22104010	8	57	21	0
P	7776	22104010	8	57	27	1
SNCA	6622	22104010	9	25	20	0
MAPT	4137	22104010	10	19	7	0
SNCA	6622	22104010	10	19	5	0
EBI	6907	22096232	3	28	11	1
EBI	6907	22096232	4	59	18	1
ENA	55740	22096232	4	59	22	1
A	1984	22096232	9	17	1	1
A	1984	22094648	4	25	1	1
P	7776	22094648	7	30	28	1
GRK6	2870	22090514	11	13	7	0
GRK6	2870	22090514	12	21	19	0
E2	26765	22089194	6	27	25	1
E2	6044	22089194	6	27	25	1
A	1984	22087832	8	19	1	1
P	7776	22086882	6	32	18	1
A	1984	22086428	4	34	1	1
A	1984	22086428	11	39	1	1
A	1984	22086220	5	16	1	1
MB	4151	22085607	12	14	12	0
STR	6779	22085607	12	14	11	1
T	6862	22085464	10	26	6	0
GM	5506	22081675	8	22	2	1
E2	26765	22081612	2	11	9	1
E2	6044	22081612	2	11	9	1
E3	6043	22081612	3	20	9	1
E2	26765	22081612	7	26	14	1
E2	6044	22081612	7	26	14	1
E2	26765	22081612	8	29	11	1
E2	6044	22081612	8	29	11	1
E2	26765	22081612	9	39	11	1
E2	6044	22081612	9	39	11	1
LRRK2	120892	22080837	2	8	1	0
LRRK2	120892	22080837	3	33	25	0
LRRK2	120892	22080837	4	22	10	0
LRRK2	120892	22080837	5	26	5	0
LRRK2	120892	22080837	6	30	17	0
LRRK2	120892	22080837	8	23	8	0
A	1984	22080197	2	22	10	1
DBS	4036	22080197	5	19	17	1
A	1984	22080197	6	31	3	1
DBS	4036	22080197	6	31	31	1
DBS	4036	22080197	7	32	11	1
DBS	4036	22080197	8	34	16	1
DBS	4036	22080197	9	20	20	1
DBS	4036	22080197	10	26	12	1
PINK1	65018	22078885	2	13	1	0
PINK1	65018	22078885	4	24	12	0
PINK1	65018	22078885	5	17	1	0
PINK1	65018	22078885	9	20	1	0
PINK1	65018	22078885	10	16	4	0
DBS	4036	22077446	6	19	14	1
DBS	4036	22077446	7	15	14	1
A	1984	22076542	4	36	1	1
A	1984	22076542	9	61	1	1
LAMP2	3920	22074992	14	20	3	0
LAMP2	3920	22074992	15	24	8	0
A	1984	22072682	9	26	1	1
USP9X	8239	22065755	6	14	7	0
USP9X	8239	22065755	7	22	1	0
A	1984	22065755	9	20	1	1
USP9X	8239	22065755	9	20	4	0
USP9X	8239	22065755	10	21	3	0
USP9X	8239	22065755	11	29	7	0
USP9X	8239	22065755	14	23	5	0
A	1984	22064864	5	23	1	1
SAS	54187	22064613	4	23	15	1
SAS	6302	22064613	4	23	15	1
SAS	54187	22064613	7	61	4	1
SAS	6302	22064613	7	61	4	1
SAS	54187	22064613	8	44	33	1
SAS	6302	22064613	8	44	33	1
SAS	54187	22064613	10	13	9	1
SAS	6302	22064613	10	13	9	1
SAS	54187	22064613	11	39	5	1
SAS	6302	22064613	11	39	5	1
D2	28503	22045325	8	33	18	1
 DSC	1825	22057087	6	20	1	1
B12	4709	22049200	3	24	21	1
B12	7126	22049200	3	24	21	1
B12	4709	22049200	6	58	8	1
B12	7126	22049200	6	58	8	1
B12	4709	22049200	7	31	17	1
B12	7126	22049200	7	31	17	1
B12	4709	22049200	9	42	2	1
B12	7126	22049200	9	42	2	1
B12	4709	22049200	10	23	13	1
B12	7126	22049200	10	23	13	1
B12	4709	22049200	12	19	8	1
B12	7126	22049200	12	19	8	1
B12	4709	22049200	13	20	2	1
B12	7126	22049200	13	20	2	1
NMS	129521	22048791	4	6	4	2
NMS	129521	22048791	12	14	2	2
PA	26258	22047128	4	7	7	1
PA	26258	22047128	5	21	10	1
A	1984	22047128	6	12	1	1
MTX	4580	22047128	18	13	1	1
PA	26258	22047128	21	18	18	1
MTX	4580	22047128	23	17	1	1
B	10899	22045282	3	29	6	1
PINK1	65018	22043288	2	8	4	0
PINK1	65018	22043288	4	16	1	0
PINK1	65018	22043288	5	42	19	0
PINK1	65018	22043288	6	15	9	0
PINK1	65018	22043288	7	42	6	0
PINK1	65018	22043288	10	38	10	0
PINK1	65018	22043175	2	16	12	0
PINK1	65018	22043175	8	29	11	0
PINK1	65018	22043175	9	23	13	0
A	1984	22041733	3	14	1	1
A	1984	22041733	5	15	1	1
A	1984	22040900	4	23	1	1
EBM	1881	22021174	5	21	10	2
EBM	1881	22021174	7	15	14	2
A	1984	22021174	13	52	40	1
EBM	1881	22021174	25	26	2	2
ATXN2	6311	22037902	4	15	3	0
ATXN2	6311	22037902	7	36	9	0
ATXN2	6311	22037902	8	19	8	0
ATXN2	6311	22037902	11	25	12	0
MSA	7173	22037599	4	24	23	1
SNCA	6622	22037599	7	16	16	0
SNCA	6622	22037599	8	16	9	0
SNCA	6622	22037599	9	19	2	0
MSA	7173	22037599	9	19	10	1
SNCA	6622	22037599	10	12	3	0
SNCA	6622	22037599	11	27	15	0
SNCA	6622	22037599	12	12	3	0
ALS	3483	22036560	2	9	9	1
ALS	6647	22036560	2	9	9	1
SOD1	6647	22036560	4	23	15	0
A	1984	22034770	9	17	1	1
SNCA	6622	22025277	6	11	10	0
SNCA	6622	22025277	8	32	13	0
SNCA	6622	22025277	9	31	24	0
MS	4548	22023479	9	27	27	0
MS	4548	22023479	10	27	13	0
Bcl-2	596	22022363	10	7	7	1
ATP13A2	23400	22022275	2	22	9	0
A	1984	22022275	2	22	1	1
NCL	80331	22022275	4	18	9	1
NCL	80331	22022275	5	31	23	1
ATP13A2	23400	22022275	7	45	44	0
NCL	80331	22022275	7	45	32	1
A	1984	22022275	7	45	1	1
ATP13A2	23400	22022275	8	19	5	0
ATP13A2	23400	22022275	9	11	7	0
NCL	80331	22022275	10	17	4	1
NCL	80331	22022275	12	23	8	1
ATP13A2	23400	22022275	13	10	1	0
P	7776	22022189	8	71	23	1
A	1984	22020457	6	43	1	1
A	1984	22019972	5	10	1	1
P	7776	22019961	11	42	15	1
M	10505	22019646	5	29	7	1
 H1	11311	22019646	9	42	42	1
H1	3009	22019646	9	42	42	1
H1	6013	22019646	9	42	42	1
DBS	4036	22017994	4	16	5	1
DBS	4036	22017994	7	27	22	1
DBS	4036	22017994	8	26	3	1
DBS	4036	22017983	5	20	8	1
A	1984	22016808	5	20	1	1
CAD	1677	22016808	12	47	11	1
LRRK2	120892	22014436	8	32	23	0
GBA	2629	22014436	8	32	21	0
A	1984	22014118	9	45	1	1
DJ-1	11315	22013209	9	36	34	1
PINK1	65018	22013209	9	36	31	0
LRRK2	120892	22013209	10	35	35	0
LRRK2	120892	22013209	11	27	26	0
E3	6043	22011618	5	29	5	1
C	64663	22009151	4	28	18	1
A	1984	22006323	2	8	1	1
A	1984	22006323	3	31	1	1
A	1984	22006323	8	29	1	1
LRRK2	120892	22004453	2	17	3	0
LRRK2	120892	22004453	5	28	12	0
LRRK2	120892	22004453	7	29	3	0
LRRK2	120892	22004453	12	26	9	0
USP37	57695	22003392	9	42	21	0
A	1984	22003392	10	16	1	1
ST8SIA4	7903	22003392	10	16	4	0
GBA	2629	22001711	6	20	2	0
GBA	2629	22001711	8	26	2	0
GBA	2629	22001711	9	10	2	0
A	1984	22001711	11	19	1	1
GBA	2629	22001711	12	15	1	0
GBA	2629	22001711	13	18	5	0
GBA	2629	22001711	14	14	10	0
DBS	4036	21999316	4	23	7	1
DBS	4036	21999316	21	17	14	1
DBS	4036	21999316	22	29	13	1
A	1984	21994149	2	13	9	1
DBS	4036	21992241	5	11	6	1
DBS	4036	21992241	10	38	15	1
DBS	4036	21992241	12	20	13	1
DBS	4036	21992241	13	33	15	1
A	1984	21989633	8	16	1	1
A	1984	21989633	9	13	1	1
P	7776	21985233	12	9	9	1
P	7776	21985233	15	17	17	1
C19orf12	83636	21981780	5	21	21	0
C19orf12	83636	21981780	9	29	16	0
A	1984	21981780	10	13	1	1
A	1984	21981780	11	16	1	1
P	7776	21981324	10	24	22	1
DBS	4036	21978795	6	45	8	1
DBS	4036	21978795	7	24	4	1
DIP	100188011	21975386	5	77	14	0
 DIP	23151	21975386	5	77	14	1
DIP	1831	21975386	5	77	14	1
ET	5833	21975386	5	77	27	1
ET	5833	21975386	6	18	10	1
DIP	100188011	21975386	10	25	10	0
 DIP	23151	21975386	10	25	10	1
DIP	1831	21975386	10	25	10	1
ET	5833	21975386	10	25	12	1
DIP	100188011	21975386	11	35	6	0
 DIP	23151	21975386	11	35	6	1
DIP	1831	21975386	11	35	6	1
ET	5833	21975386	11	35	8	1
DIP	100188011	21975386	12	28	24	0
 DIP	23151	21975386	12	28	24	1
DIP	1831	21975386	12	28	24	1
ET	5833	21975386	12	28	27	1
DIP	100188011	21975386	13	11	10	0
 DIP	23151	21975386	13	11	10	1
DIP	1831	21975386	13	11	10	1
ET	5833	21975386	13	11	8	1
CBF	10153	21971352	6	35	6	1
CBF	10153	21971352	9	30	7	1
A	1984	21970092	15	20	1	1
A	1984	21969043	2	10	1	1
A	1984	21963735	6	9	1	1
LRRK2	120892	21961647	4	28	13	0
GTP	92170	21961647	10	23	21	1
LRRK2	120892	21960214	3	19	4	0
LRRK2	120892	21960214	4	9	1	0
LRRK2	120892	21960214	5	13	5	0
LRRK2	120892	21960214	6	21	9	0
LRRK2	120892	21960214	7	14	9	0
P	7776	21959370	14	7	5	1
P	7776	21959370	16	6	4	1
A	1984	21956541	6	12	1	1
P	7776	21956541	10	26	24	1
A	1984	21955729	7	13	1	1
LRRK2	120892	21954089	2	16	7	0
LRRK2	120892	21954089	3	17	7	0
LRRK2	120892	21954089	5	28	19	0
LRRK2	120892	21954089	10	29	9	0
SNCA	6622	21953863	2	14	3	0
SNCA	6622	21953863	4	27	8	0
P	7776	21953863	5	18	16	1
SNCA	6622	21953863	6	21	17	0
ON	6678	21953789	5	30	20	1
ON	6678	21953789	9	41	22	1
ON	6678	21953789	10	31	6	1
A	1984	21952405	4	30	1	1
A	1984	21952405	8	39	1	1
ER	2069	21951066	8	21	19	1
A	1984	21951056	2	16	1	1
B	10899	21951056	9	29	29	1
A	1984	21950265	2	13	6	1
A	1984	21950265	4	26	12	1
A	1984	21948912	2	18	1	1
NA	4663	21941841	9	23	16	0
PARK2	5071	21941841	13	35	1	0
D2	28503	21941841	13	35	30	1
