DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
pa445218	pmid: 22367292	3	53	45
pa445218	pmid: 22367292	4	21	3
pa445218	pmid: 22367239	2	22	21
pa445218	pmid: 22367239	4	21	20
pa445218	pmid: 22367239	6	38	37
pa445218	pmid: 22367239	14	18	16
pa445218	pmid: 22365997	3	23	17
pa445218	pmid: 22365997	4	32	19
pa445218	pmid: 22365997	5	32	27
pa445218	pmid: 22365997	7	20	14
pa445218	pmid: 22365494	8	55	46
pa445218	pmid: 22365494	9	87	27
pa445218	pmid: 22364882	2	15	12
pa445218	pmid: 22364882	3	32	28
pa445218	pmid: 22363741	2	17	10
pa445218	pmid: 22363741	5	17	16
pa445218	pmid: 22363741	8	57	56
pa445218	pmid: 22363658	2	15	13
pa445218	pmid: 22363658	12	21	11
pa445218	pmid: 22363124	4	28	11
pa445218	pmid: 22363124	6	17	11
pa445218	pmid: 22363124	8	26	14
pa445218	pmid: 22363124	11	13	12
pa445218	pmid: 22363081	3	12	8
pa445218	pmid: 22363072	2	4	3
pa445218	pmid: 22363072	4	18	10
pa445218	pmid: 22363072	5	16	3
pa445218	pmid: 22363072	6	21	5
pa445218	pmid: 22362246	2	6	5
pa445218	pmid: 22362246	4	30	29
pa445218	pmid: 22362246	5	20	19
pa445218	pmid: 22362246	6	31	22
pa445218	pmid: 22361500	2	5	4
pa445218	pmid: 22361500	4	10	5
pa445218	pmid: 22361500	5	13	12
pa445218	pmid: 22361500	8	21	17
pa445218	pmid: 22360504	2	18	16
pa445218	pmid: 22360504	3	20	4
pa445218	pmid: 22359542	2	8	6
pa445218	pmid: 22359542	3	22	20
pa445218	pmid: 22359542	4	18	13
pa445218	pmid: 22359542	5	25	23
pa445218	pmid: 22359542	6	18	17
pa445218	pmid: 22359542	7	18	7
pa445218	pmid: 22359542	8	15	8
pa445218	pmid: 22359542	9	32	9
pa445218	pmid: 22359542	10	21	10
pa445218	pmid: 22359542	12	29	25
pa445218	pmid: 22359319	2	15	14
pa445218	pmid: 22359319	5	17	15
pa445218	pmid: 22359319	6	27	9
pa445218	pmid: 22359319	7	19	7
pa445218	pmid: 22359319	8	41	8
pa445218	pmid: 22359319	10	28	21
pa445218	pmid: 22359319	11	23	15
pa445218	pmid: 22359299	2	14	4
pa445218	pmid: 22359299	5	29	28
pa445218	pmid: 22357730	3	23	3
pa445218	pmid: 22357542	4	31	18
pa445218	pmid: 22355676	3	22	9
pa445218	pmid: 22355676	6	35	14
pa445218	pmid: 22354549	4	31	16
pa445218	pmid: 22354009	2	12	10
pa445218	pmid: 22354009	3	25	13
pa445218	pmid: 22354009	5	33	28
pa445218	pmid: 22354009	8	31	7
pa445218	pmid: 22354009	12	20	19
pa445218	pmid: 22353530	2	15	13
pa445218	pmid: 22353530	3	15	8
pa445218	pmid: 22353530	4	28	2
pa445218	pmid: 22353530	6	19	10
pa445218	pmid: 22353530	7	35	29
pa445218	pmid: 22353530	8	38	6
pa445218	pmid: 22353530	10	27	5
pa445218	pmid: 22353530	11	29	23
pa445218	pmid: 22353527	4	34	15
pa445218	pmid: 22353527	7	15	2
pa445218	pmid: 22353527	8	9	8
pa445218	pmid: 22353527	9	38	22
pa445218	pmid: 22353527	11	11	5
pa445218	pmid: 22353527	12	20	7
pa445218	pmid: 22353526	2	12	4
pa445218	pmid: 22353526	4	15	10
pa445218	pmid: 22353526	5	29	17
pa445218	pmid: 22353526	6	48	13
pa445218	pmid: 22353525	10	12	9
pa445218	pmid: 22351932	2	11	9
pa445218	pmid: 22351932	4	29	9
pa445218	pmid: 22351878	2	19	4
pa445218	pmid: 22351878	3	19	11
pa445218	pmid: 22351878	6	22	15
pa445218	pmid: 22351878	7	32	11
pa445218	pmid: 22351878	13	45	44
pa445218	pmid: 22351874	2	14	13
pa445218	pmid: 22351874	3	11	10
pa445218	pmid: 22351874	5	19	4
pa445218	pmid: 22351874	7	21	12
pa445218	pmid: 22351874	11	29	17
pa445218	pmid: 22350841	5	10	9
pa445218	pmid: 22350780	4	16	15
pa445218	pmid: 22350613	2	6	3
pa445218	pmid: 22350613	3	35	4
pa445218	pmid: 22350613	4	36	29
pa445218	pmid: 22350613	5	13	12
pa445218	pmid: 22350605	2	12	4
pa445218	pmid: 22350605	3	14	2
pa445218	pmid: 22350605	6	10	5
pa445218	pmid: 22350605	11	17	7
pa445218	pmid: 22350605	15	21	9
pa445218	pmid: 22350603	2	13	7
pa445218	pmid: 22350603	3	25	24
pa445218	pmid: 22350603	5	24	10
pa445218	pmid: 22350603	9	22	14
pa445218	pmid: 22350603	10	19	14
pa445218	pmid: 22350603	11	34	4
pa445218	pmid: 22350603	12	23	12
pa445218	pmid: 22350603	13	18	6
pa445218	pmid: 22350599	2	11	10
pa445218	pmid: 22350599	3	29	27
pa445218	pmid: 22350599	4	15	10
pa445218	pmid: 22350599	10	27	25
pa445218	pmid: 22350599	11	36	12
pa445218	pmid: 22350599	12	11	10
pa445218	pmid: 22350478	2	13	10
pa445218	pmid: 22350478	3	18	12
pa445218	pmid: 22350478	5	21	13
pa445218	pmid: 22350478	9	29	8
pa445218	pmid: 22348348	2	15	9
pa445218	pmid: 22348348	4	9	8
pa445218	pmid: 22348348	5	31	27
pa445218	pmid: 22348348	6	22	16
pa445218	pmid: 22348348	7	47	15
pa445218	pmid: 22348348	8	23	9
pa445218	pmid: 22348348	9	20	18
pa445218	pmid: 22348286	6	38	19
pa445218	pmid: 22348173	4	15	13
pa445218	pmid: 22348081	2	16	3
pa445218	pmid: 22348081	5	32	31
pa445218	pmid: 22348037	2	18	17
pa445218	pmid: 22348037	5	38	37
pa445218	pmid: 22348037	10	24	22
pa445218	pmid: 22348037	11	26	14
pa445218	pmid: 22348037	12	14	13
pa445218	pmid: 22347826	2	8	7
pa445218	pmid: 22347323	2	19	9
pa445218	pmid: 22347323	4	25	17
pa445218	pmid: 22347323	17	15	13
pa445218	pmid: 22344880	2	15	5
pa445218	pmid: 22344880	3	43	24
pa445218	pmid: 22344880	13	30	6
pa445218	pmid: 22344632	2	17	15
pa445218	pmid: 22344632	5	52	24
pa445218	pmid: 22344632	6	45	33
pa445218	pmid: 22344632	7	38	12
pa445218	pmid: 22344632	9	28	27
pa445218	pmid: 22344252	7	49	17
pa445218	pmid: 22343984	2	13	12
pa445218	pmid: 22342769	8	24	18
pa445218	pmid: 22342683	2	15	13
pa445218	pmid: 22342683	3	32	25
pa445218	pmid: 22342309	2	10	8
pa445218	pmid: 22342309	6	31	30
pa445218	pmid: 22342309	7	16	15
pa445218	pmid: 22341261	2	5	4
pa445218	pmid: 22341260	2	7	6
pa445218	pmid: 22341259	2	6	5
pa445218	pmid: 22341257	2	13	12
pa445218	pmid: 22340650	2	11	8
pa445218	pmid: 22340650	3	18	14
pa445218	pmid: 22340650	4	19	6
pa445218	pmid: 22340650	5	11	8
pa445218	pmid: 22340650	19	21	20
pa445218	pmid: 22340649	2	13	11
pa445218	pmid: 22340649	3	30	23
pa445218	pmid: 22340649	5	18	15
pa445218	pmid: 22340649	12	17	15
pa445218	pmid: 22340648	2	7	6
pa445218	pmid: 22340105	2	8	7
pa445218	pmid: 22340105	3	16	15
pa445218	pmid: 22340105	4	25	11
pa445218	pmid: 22330162	2	6	5
pa445218	pmid: 22338609	4	27	9
pa445218	pmid: 22338609	8	20	18
pa445218	pmid: 22338018	6	29	16
pa445218	pmid: 22338014	2	27	26
pa445218	pmid: 22338014	6	31	11
pa445218	pmid: 22336159	4	19	17
pa445218	pmid: 22336159	10	15	6
pa445218	pmid: 22336159	13	20	9
pa445218	pmid: 22335903	2	15	13
pa445218	pmid: 22335903	3	24	12
pa445218	pmid: 22335903	4	24	18
pa445218	pmid: 22335903	6	10	6
pa445218	pmid: 22335903	10	30	29
pa445218	pmid: 22335271	2	15	6
pa445218	pmid: 22335271	4	30	24
pa445218	pmid: 22335271	5	22	4
pa445218	pmid: 22335271	6	30	16
pa445218	pmid: 22335271	11	29	14
pa445218	pmid: 22335271	13	18	17
pa445218	pmid: 22334019	4	30	6
pa445218	pmid: 22334000	2	17	14
pa445218	pmid: 22334000	3	37	32
pa445218	pmid: 22334000	4	16	9
pa445218	pmid: 22334000	11	27	19
pa445218	pmid: 22333707	10	40	8
pa445218	pmid: 22333642	2	17	4
pa445218	pmid: 22333642	4	14	5
pa445218	pmid: 22333441	2	9	8
pa445218	pmid: 22333441	3	17	13
pa445218	pmid: 22333441	4	24	12
pa445218	pmid: 22333441	5	25	11
pa445218	pmid: 22333441	10	12	11
pa445218	pmid: 22333204	2	14	7
pa445218	pmid: 22333204	3	38	37
pa445218	pmid: 22333204	4	13	6
pa445218	pmid: 22333204	8	12	10
pa445218	pmid: 22333204	11	25	5
pa445218	pmid: 22333204	12	13	12
pa445218	pmid: 22332746	2	20	15
pa445218	pmid: 22332746	4	25	23
pa445218	pmid: 22332746	7	28	22
pa445218	pmid: 22332746	11	20	19
pa445218	pmid: 22332734	5	28	7
pa445218	pmid: 22332734	8	14	13
pa445218	pmid: 22332734	9	9	4
pa445218	pmid: 22332734	10	18	8
pa445218	pmid: 22332734	12	40	39
pa445218	pmid: 22332734	14	25	24
pa445218	pmid: 22332734	16	12	8
pa445218	pmid: 22332734	18	26	25
pa445218	pmid: 22332734	22	27	21
pa445218	pmid: 22331944	5	138	88
pa445218	pmid: 22331587	2	17	15
pa445218	pmid: 22331587	4	30	13
pa445218	pmid: 22331470	3	32	22
pa445218	pmid: 22331464	3	12	7
pa445218	pmid: 22330678	2	14	12
pa445218	pmid: 22330678	3	15	7
pa445218	pmid: 22330678	5	19	18
pa445218	pmid: 22329852	11	35	34
pa445218	pmid: 22329852	14	37	25
pa445218	pmid: 22329849	2	30	19
pa445218	pmid: 22329849	3	11	6
pa445218	pmid: 22329849	4	44	43
pa445218	pmid: 22329849	5	37	25
pa445218	pmid: 22329849	18	8	3
pa445218	pmid: 22329400	8	17	16
pa445218	pmid: 22320930	2	14	8
pa445218	pmid: 22320930	3	26	14
pa445218	pmid: 22320930	5	45	43
pa445218	pmid: 22320920	2	9	7
pa445218	pmid: 22320920	3	17	10
pa445218	pmid: 22320920	4	30	15
pa445218	pmid: 22320920	5	16	14
pa445218	pmid: 22320920	6	24	23
pa445218	pmid: 22320920	7	29	17
pa445218	pmid: 22320920	8	25	20
pa445218	pmid: 22320912	2	7	6
pa445218	pmid: 22320912	5	21	4
pa445218	pmid: 22320912	7	23	22
pa445218	pmid: 22320912	9	37	36
pa445218	pmid: 22320912	10	29	15
pa445218	pmid: 22320910	2	10	9
pa445218	pmid: 22320910	7	26	2
pa445218	pmid: 22320910	8	32	13
pa445218	pmid: 22320910	9	20	8
pa445218	pmid: 22320910	11	23	13
pa445218	pmid: 22328735	8	39	18
pa445218	pmid: 22327868	2	11	8
pa445218	pmid: 22327302	7	29	15
pa445218	pmid: 22327284	3	31	30
pa445218	pmid: 22327284	4	25	18
pa445218	pmid: 22327284	5	42	41
pa445218	pmid: 22326673	5	29	13
pa445218	pmid: 22326395	6	76	60
pa445218	pmid: 22325559	2	15	13
pa445218	pmid: 22325559	3	21	8
pa445218	pmid: 22325559	5	24	13
pa445218	pmid: 22325559	6	21	17
pa445218	pmid: 22325559	11	19	17
pa445218	pmid: 22323115	2	20	17
pa445218	pmid: 22322899	2	20	19
pa445218	pmid: 22322899	9	20	18
pa445218	pmid: 22322855	2	7	5
pa445218	pmid: 22322855	4	19	8
pa445218	pmid: 22322855	7	22	16
pa445218	pmid: 22322442	2	27	11
pa445218	pmid: 22322379	2	12	11
pa445218	pmid: 22322379	4	19	18
pa445218	pmid: 22322379	8	19	17
pa445218	pmid: 22322379	11	26	3
pa445218	pmid: 22322379	12	14	13
pa445218	pmid: 22322379	13	28	13
pa445218	pmid: 22322295	2	9	7
pa445218	pmid: 22322295	6	45	44
pa445218	pmid: 22322295	8	20	6
pa445218	pmid: 22322295	10	18	12
pa445218	pmid: 22322295	11	19	18
pa445218	pmid: 22322295	12	13	11
pa445218	pmid: 22321888	4	14	5
pa445218	pmid: 22321888	7	22	14
pa445218	pmid: 22321641	2	13	9
pa445218	pmid: 22321641	5	53	23
pa445218	pmid: 22321476	10	49	46
pa445218	pmid: 22321476	11	77	42
pa445218	pmid: 22321398	2	14	5
pa445218	pmid: 22321398	6	41	39
pa445218	pmid: 22320450	2	12	8
pa445218	pmid: 22320450	4	23	22
pa445218	pmid: 22320450	6	24	18
pa445218	pmid: 22320450	15	30	27
pa445218	pmid: 22320398	2	15	13
pa445218	pmid: 22320398	3	20	9
pa445218	pmid: 22320398	8	26	23
pa445218	pmid: 22319744	3	16	14
pa445218	pmid: 22319744	8	27	26
pa445218	pmid: 22319600	2	15	13
pa445218	pmid: 22319600	3	23	9
pa445218	pmid: 22319600	4	38	36
pa445218	pmid: 22319600	7	20	6
pa445218	pmid: 22319600	8	20	9
pa445218	pmid: 22319600	9	19	18
pa445218	pmid: 22319600	10	23	22
pa445218	pmid: 22318898	8	29	19
pa445218	pmid: 22317883	2	18	17
pa445218	pmid: 22317883	3	13	4
pa445218	pmid: 22317883	7	15	5
pa445218	pmid: 22317883	10	25	10
pa445218	pmid: 22317883	12	12	6
pa445218	pmid: 22317883	20	21	20
pa445218	pmid: 22316387	2	15	11
pa445218	pmid: 22316387	7	27	25
pa445218	pmid: 22316387	8	26	19
pa445218	pmid: 22316387	9	29	25
pa445218	pmid: 22316327	2	17	11
pa445218	pmid: 22316327	3	31	30
pa445218	pmid: 22316327	4	27	26
pa445218	pmid: 22315049	2	18	7
pa445218	pmid: 22315049	4	57	6
pa445218	pmid: 22315049	5	68	67
pa445218	pmid: 22315049	6	53	52
pa445218	pmid: 22315049	7	39	37
pa445218	pmid: 22314265	2	20	17
pa445218	pmid: 22314265	5	35	5
pa445218	pmid: 22314265	11	38	36
pa445218	pmid: 22313544	2	24	19
pa445218	pmid: 22313544	3	19	15
pa445218	pmid: 22313544	5	31	16
pa445218	pmid: 22313544	12	29	7
pa445218	pmid: 22313544	13	16	14
pa445218	pmid: 22313312	6	24	5
pa445218	pmid: 22312532	2	17	3
pa445218	pmid: 22312532	4	13	4
pa445218	pmid: 22312532	5	25	17
pa445218	pmid: 22312532	16	28	24
pa445218	pmid: 22312494	2	16	9
pa445218	pmid: 22312494	3	14	6
pa445218	pmid: 22312494	7	38	19
pa445218	pmid: 22312494	8	22	21
pa445218	pmid: 22312312	2	19	17
pa445218	pmid: 22312312	3	32	15
pa445218	pmid: 22312312	4	33	11
pa445218	pmid: 22312312	13	37	36
pa445218	pmid: 22311829	2	11	10
pa445218	pmid: 22311829	3	64	37
pa445218	pmid: 22311829	4	24	7
pa445218	pmid: 22311829	18	15	14
pa445218	pmid: 22311389	2	16	14
pa445218	pmid: 22311389	3	34	22
pa445218	pmid: 22311389	4	18	13
pa445218	pmid: 22311389	6	16	10
pa445218	pmid: 22311389	7	19	15
pa445218	pmid: 22311389	10	24	23
pa445218	pmid: 22311282	2	15	14
pa445218	pmid: 22311282	3	23	3
pa445218	pmid: 22311282	5	26	10
pa445218	pmid: 22311263	2	21	11
pa445218	pmid: 22311263	3	26	15
pa445218	pmid: 22311263	4	26	11
pa445218	pmid: 22311120	9	17	9
pa445218	pmid: 22310974	5	15	13
pa445218	pmid: 22310974	6	43	25
pa445218	pmid: 22310974	8	28	14
pa445218	pmid: 22310917	2	8	2
pa445218	pmid: 22310917	3	10	9
pa445218	pmid: 22309455	2	14	5
pa445218	pmid: 22307919	8	23	16
pa445218	pmid: 22307213	2	15	14
pa445218	pmid: 22307213	3	22	8
pa445218	pmid: 22307213	4	17	15
pa445218	pmid: 22307213	5	33	10
pa445218	pmid: 22307004	2	12	11
pa445218	pmid: 22307004	6	16	15
pa445218	pmid: 22306768	2	11	8
pa445218	pmid: 22306768	5	51	38
pa445218	pmid: 22306768	7	27	26
pa445218	pmid: 22306681	31	51	50
pa445218	pmid: 22306681	32	23	13
pa445218	pmid: 22306538	2	7	5
pa445218	pmid: 22306263	7	21	13
pa445218	pmid: 22306154	2	12	7
pa445218	pmid: 22306154	5	17	9
pa445218	pmid: 22305864	3	35	8
pa445218	pmid: 22305864	5	15	10
pa445218	pmid: 22305864	17	18	17
pa445218	pmid: 22305626	12	40	39
pa445218	pmid: 22304734	2	11	10
pa445218	pmid: 22304734	4	19	17
pa445218	pmid: 22304734	10	40	39
pa445218	pmid: 22303557	2	10	7
pa445218	pmid: 22302762	2	15	14
pa445218	pmid: 22302349	2	16	15
pa445218	pmid: 22302349	3	14	12
pa445218	pmid: 22301921	2	15	13
pa445218	pmid: 22301921	3	16	12
pa445218	pmid: 22301921	4	28	17
pa445218	pmid: 22301921	8	15	7
pa445218	pmid: 22301921	14	19	5
pa445218	pmid: 22301828	2	23	13
pa445218	pmid: 22301828	4	58	43
pa445218	pmid: 22301828	5	52	26
pa445218	pmid: 22301828	6	23	15
pa445218	pmid: 22301828	7	78	77
pa445218	pmid: 22301828	8	12	6
pa445218	pmid: 22301608	2	26	6
pa445218	pmid: 22301608	7	36	22
pa445218	pmid: 22301608	8	53	50
pa445218	pmid: 22301608	9	26	17
pa445218	pmid: 22301608	10	30	18
pa445218	pmid: 22301608	11	34	27
pa445218	pmid: 22301497	2	17	15
pa445218	pmid: 22301497	3	15	12
pa445218	pmid: 22301496	2	21	12
pa445218	pmid: 22301496	3	18	15
pa445218	pmid: 22301400	2	15	13
pa445218	pmid: 22301400	4	17	11
pa445218	pmid: 22301400	5	26	16
pa445218	pmid: 22301400	6	17	11
pa445218	pmid: 22301400	9	33	20
pa445218	pmid: 22301400	15	33	32
pa445218	pmid: 22301281	2	11	9
pa445218	pmid: 22301281	4	36	35
pa445218	pmid: 22301281	5	13	8
pa445218	pmid: 22301281	8	61	59
pa445218	pmid: 22301281	12	20	10
pa445218	pmid: 22300608	2	16	12
pa445218	pmid: 22300608	3	22	20
pa445218	pmid: 22300387	3	21	13
pa445218	pmid: 22299600	2	7	6
pa445218	pmid: 22299208	2	9	5
pa445218	pmid: 22299208	3	12	3
pa445218	pmid: 22299208	5	26	24
pa445218	pmid: 22299208	7	16	9
pa445218	pmid: 22299208	8	30	22
pa445218	pmid: 22299208	11	22	15
pa445218	pmid: 22299208	12	25	24
pa445218	pmid: 22299055	8	42	35
pa445218	pmid: 22298869	15	17	16
pa445218	pmid: 22298869	17	36	35
pa445218	pmid: 22298601	16	24	13
pa445218	pmid: 22298506	11	7	5
pa445218	pmid: 22298098	2	30	12
pa445218	pmid: 22298098	7	19	18
pa445218	pmid: 22298098	8	25	13
pa445218	pmid: 22298098	13	27	26
pa445218	pmid: 22297233	5	39	25
pa445218	pmid: 22297233	6	19	8
pa445218	pmid: 22297233	7	21	12
pa445218	pmid: 22296619	3	34	33
pa445218	pmid: 22295108	8	51	8
pa445218	pmid: 22294831	6	46	45
pa445218	pmid: 22294831	8	18	17
pa445218	pmid: 22294829	2	12	11
pa445218	pmid: 22294829	3	17	12
pa445218	pmid: 22294829	5	23	21
pa445218	pmid: 22294829	7	31	13
pa445218	pmid: 22294829	8	14	2
pa445218	pmid: 22294829	13	29	19
pa445218	pmid: 22294829	16	16	13
pa445218	pmid: 22294553	2	17	15
pa445218	pmid: 22294553	8	35	33
pa445218	pmid: 22294193	2	22	17
pa445218	pmid: 22293948	2	22	20
pa445218	pmid: 22293948	5	28	13
pa445218	pmid: 22293948	10	37	12
pa445218	pmid: 22293850	2	11	10
pa445218	pmid: 22293850	5	20	18
pa445218	pmid: 22293850	8	25	23
pa445218	pmid: 22293850	10	30	12
pa445218	pmid: 22293850	11	19	17
pa445218	pmid: 22293850	12	20	19
pa445218	pmid: 22293752	2	14	8
pa445218	pmid: 22293752	5	19	13
pa445218	pmid: 22292614	6	18	16
pa445218	pmid: 22292614	8	16	7
pa445218	pmid: 22292226	17	22	13
pa445218	pmid: 22292058	2	10	4
pa445218	pmid: 22292058	3	28	6
pa445218	pmid: 22292058	5	29	23
pa445218	pmid: 22291919	7	30	3
pa445218	pmid: 22291919	9	30	29
pa445218	pmid: 22291707	2	4	3
pa445218	pmid: 22290402	2	13	9
pa445218	pmid: 22290402	3	37	24
pa445218	pmid: 22290402	4	36	7
pa445218	pmid: 22290402	5	36	33
pa445218	pmid: 22290402	8	21	16
pa445218	pmid: 22290402	13	53	43
pa445218	pmid: 22289952	2	4	3
pa445218	pmid: 22289952	4	16	15
pa445218	pmid: 22289952	9	16	10
pa445218	pmid: 22289952	10	16	9
pa445218	pmid: 22289952	11	8	7
pa445218	pmid: 22289952	13	18	17
pa445218	pmid: 22289952	14	13	12
pa445218	pmid: 22289952	15	19	18
pa445218	pmid: 22289513	3	16	15
pa445218	pmid: 22288880	3	28	16
pa445218	pmid: 22288880	4	25	19
pa445218	pmid: 22288880	8	41	39
pa445218	pmid: 22288880	10	9	6
pa445218	pmid: 22288880	19	20	7
pa445218	pmid: 22288063	8	11	8
pa445218	pmid: 22288063	9	11	10
pa445218	pmid: 22288050	3	22	7
pa445218	pmid: 22287840	2	13	11
pa445218	pmid: 22287840	6	17	7
pa445218	pmid: 22287840	10	27	15
pa445218	pmid: 22287729	2	15	5
pa445218	pmid: 22287729	3	25	24
pa445218	pmid: 22287597	2	11	9
pa445218	pmid: 22287227	2	16	5
pa445218	pmid: 22287227	4	13	12
pa445218	pmid: 22287227	5	38	29
pa445218	pmid: 22287227	13	35	33
pa445218	pmid: 22286958	6	30	16
pa445218	pmid: 22286382	4	17	10
pa445218	pmid: 22286382	5	26	19
pa445218	pmid: 22286382	6	27	16
pa445218	pmid: 22286382	11	20	10
pa445218	pmid: 22286382	16	15	14
pa445218	pmid: 22286380	2	16	11
pa445218	pmid: 22286380	3	23	22
pa445218	pmid: 22286380	11	21	20
pa445218	pmid: 22286244	3	16	15
pa445218	pmid: 22286027	5	39	28
pa445218	pmid: 22285669	2	12	11
pa445218	pmid: 22285669	3	36	29
pa445218	pmid: 22284762	3	24	10
pa445218	pmid: 22284762	5	32	29
pa445218	pmid: 22284762	6	9	8
pa445218	pmid: 22284762	8	34	33
pa445218	pmid: 22284762	14	28	7
pa445218	pmid: 22284684	2	12	11
pa445218	pmid: 22284684	3	12	11
pa445218	pmid: 22284684	5	15	14
pa445218	pmid: 22284684	6	19	13
pa445218	pmid: 22284089	2	13	12
pa445218	pmid: 22284089	3	12	11
pa445218	pmid: 22284089	5	15	14
pa445218	pmid: 22284089	8	33	17
pa445218	pmid: 22284089	17	12	11
pa445218	pmid: 22283686	2	11	7
pa445218	pmid: 22283686	4	18	17
pa445218	pmid: 22283686	5	20	19
pa445218	pmid: 22283686	6	23	12
pa445218	pmid: 22283686	10	48	47
pa445218	pmid: 22283686	11	26	19
pa445218	pmid: 22283657	2	20	17
pa445218	pmid: 22283657	3	13	2
pa445218	pmid: 22283657	5	26	17
pa445218	pmid: 22281437	6	58	33
pa445218	pmid: 22281375	2	18	10
pa445218	pmid: 22281375	3	29	12
pa445218	pmid: 22281375	4	18	17
pa445218	pmid: 22281375	5	25	24
pa445218	pmid: 22281375	9	15	14
pa445218	pmid: 22280800	4	30	29
pa445218	pmid: 22278702	6	39	35
pa445218	pmid: 22278619	3	26	25
pa445218	pmid: 22277584	2	13	12
pa445218	pmid: 22277584	3	22	21
pa445218	pmid: 22277584	4	23	22
pa445218	pmid: 22277584	5	23	4
pa445218	pmid: 22277584	6	25	10
pa445218	pmid: 22277584	10	24	3
pa445218	pmid: 22277584	12	28	16
pa445218	pmid: 22277584	14	17	12
pa445218	pmid: 22277035	3	30	29
pa445218	pmid: 22276603	2	17	16
pa445218	pmid: 22276603	3	17	14
pa445218	pmid: 22276603	4	32	31
pa445218	pmid: 22276603	5	17	16
pa445218	pmid: 22276603	6	29	10
pa445218	pmid: 22276603	10	11	10
pa445218	pmid: 22276603	11	25	11
pa445218	pmid: 22276460	11	31	19
pa445218	pmid: 22275514	2	12	10
pa445218	pmid: 22275514	6	19	17
pa445218	pmid: 22275514	8	37	23
pa445218	pmid: 22275185	2	13	4
pa445218	pmid: 22275185	3	25	13
pa445218	pmid: 22275185	4	21	7
pa445218	pmid: 22275185	6	40	37
pa445218	pmid: 22275185	9	21	3
pa445218	pmid: 22275185	10	30	29
pa445218	pmid: 22273698	2	11	8
pa445218	pmid: 22273698	3	34	15
pa445218	pmid: 22273698	4	20	18
pa445218	pmid: 22273698	11	14	11
pa445218	pmid: 22272725	2	14	8
pa445218	pmid: 22272725	3	21	7
pa445218	pmid: 22272725	9	30	13
pa445218	pmid: 22272725	11	33	32
pa445218	pmid: 22272725	13	24	6
pa445218	pmid: 22272725	16	32	31
